#,Name,Team,Type,PA,G,WAR,SLG,OBP,HR,RBI,SB,R,BB%,K%,AVG,Salary (Per Season)
403,Enrique Hernández,LAD,Batter,177,70,0,0.36,0.267,7,19,0,22,0.085,0.26,0.199,6500000
404,Gio Urshela,ATH,Batter,133,40,0,0.331,0.29,0,16,0,6,0.075,0.173,0.231,760000
405,Michael Stefanic,TOR,Batter,25,9,0,0.182,0.28,0,0,0,1,0.12,0.12,0.182,760000
406,Emmanuel Rivera,BAL,Batter,77,27,-0.1,0.271,0.299,0,3,1,3,0.078,0.156,0.229,760000
407,Dairon Blanco,KCR,Batter,8,9,-0.1,0.333,0.167,0,1,3,2,0,0.25,0.167,760000
408,Royce Lewis,MIN,Batter,153,42,-0.1,0.302,0.281,2,13,0,14,0.085,0.144,0.216,1625000
409,Ryan Fitzgerald,MIN,Batter,3,2,-0.1,0,0,0,0,0,1,0,0,0,760000
410,James Outman,LAD,Batter,37,14,-0.1,0.333,0.216,2,4,0,6,0.108,0.432,0.121,800000
411,Taylor Trammell,HOU,Batter,36,14,-0.1,0.313,0.25,1,4,0,3,0.111,0.361,0.156,765200
412,Billy McKinney,TEX,Batter,8,2,-0.1,0.143,0.25,0,0,0,1,0.125,0.125,0.143,760000
413,Yanquiel Fernández,COL,Batter,28,10,-0.1,0.37,0.321,0,2,0,3,0.036,0.25,0.296,760000
414,Leo Jiménez,TOR,Batter,18,9,-0.1,0.294,0.118,1,1,0,2,0,0.278,0.118,760000
415,Nick Ahmed,TEX,Batter,10,5,-0.1,0,0.1,0,0,1,1,0.1,0.3,0,760000
416,Aramis Garcia,ARI,Batter,4,2,-0.1,0,0,0,0,0,0,0,0.75,0,760000
417,Will Benson,CIN,Batter,174,53,-0.1,0.427,0.276,8,26,1,22,0.069,0.293,0.223,760000
418,José Azocar,NYM,Batter,21,14,-0.1,0.263,0.333,0,1,1,5,0.095,0.048,0.263,760000
419,Jesse Winker,NYM,Batter,81,26,-0.1,0.4,0.309,1,10,1,8,0.111,0.259,0.229,7500000
420,Nate Eaton,BOS,Batter,27,14,-0.1,0.333,0.296,0,1,3,5,0.037,0.37,0.25,760000
421,Luis Arraez,SDP,Batter,393,90,-0.1,0.389,0.314,5,35,4,39,0.046,0.028,0.279,14000000
422,Eddie Rosario,ATL,Batter,8,5,-0.1,0.125,0.125,0,0,0,1,0,0.25,0.125,760000
423,Christian Walker,HOU,Batter,377,90,-0.1,0.374,0.286,12,47,0,37,0.061,0.273,0.229,20000000
424,Tristin English,ARI,Batter,4,1,-0.1,0,0,0,1,0,0,0,0.5,0,760000
425,Michael Siani,STL,Batter,19,19,-0.1,0.235,0.316,0,0,0,4,0.105,0.368,0.235,760000
426,Cal Stevenson,PHI,Batter,8,5,-0.1,0.25,0.25,0,1,0,0,0,0.25,0.25,760000
427,Justyn-Henry Malloy,DET,Batter,118,46,-0.1,0.281,0.339,1,16,0,13,0.161,0.263,0.208,760000
428,Graham Pauley,MIA,Batter,94,29,-0.1,0.271,0.258,0,5,0,6,0.074,0.223,0.2,760000
429,Parker Meadows,DET,Batter,119,32,-0.1,0.284,0.261,2,9,3,12,0.084,0.303,0.193,781600
430,David Villar,SFG,Batter,25,9,-0.1,0.25,0.36,0,1,0,4,0.16,0.2,0.2,760000
431,Jhonny Pereda,ATH,Batter,46,19,-0.1,0.225,0.283,0,3,0,3,0.13,0.283,0.175,760000
432,Chris Taylor,LAA,Batter,69,38,-0.1,0.323,0.246,1,5,1,10,0.014,0.377,0.2,760000
433,Jacob Hurtubise,CIN,Batter,15,12,-0.1,0.083,0.267,0,0,0,3,0.067,0.4,0.083,760000
434,Abraham Toro,BOS,Batter,193,52,-0.1,0.418,0.321,5,20,1,25,0.057,0.155,0.271,1000000
435,Miguel Andujar,ATH,Batter,193,49,-0.1,0.387,0.321,3,20,1,19,0.052,0.119,0.287,3000000
436,Mason McCoy,SDP,Batter,5,4,-0.1,0,0,0,0,0,0,0,0.6,0,760000
437,Weston Wilson,PHI,Batter,42,22,-0.1,0.278,0.31,1,4,0,3,0.143,0.31,0.194,760000
438,Cooper Hummel,HOU,Batter,76,26,-0.1,0.279,0.333,2,4,0,8,0.158,0.329,0.18,760000
439,César Salazar,HOU,Batter,7,8,-0.1,0.143,0.143,0,0,0,0,0,0.143,0.143,760000
440,Samad Taylor,SEA,Batter,9,4,-0.1,0.125,0.125,0,0,0,1,0,0.111,0.125,760000
441,Colby Thomas,ATH,Batter,11,5,-0.1,0.182,0.091,0,0,0,1,0,0.545,0.091,760000
442,Will Brennan,CLE,Batter,13,6,-0.1,0.091,0.231,0,0,0,0,0.077,0.077,0.091,760000
443,Jonathan Ornelas,TEX,Batter,6,4,-0.1,0,0.167,0,0,0,0,0.167,0.5,0,760000
444,Buddy Kennedy,PHI,Batter,8,4,-0.1,0,0.125,0,0,0,0,0.125,0.25,0,760000
445,Tyler Callihan,CIN,Batter,6,4,-0.1,0.167,0.167,0,1,0,0,0,0.167,0.167,760000
446,Carson McCusker,MIN,Batter,6,5,-0.1,0.167,0.167,0,0,0,0,0,0.667,0.167,760000
447,Sam Huff,SFG,Batter,58,20,-0.1,0.34,0.259,2,4,0,5,0.069,0.431,0.208,760000
448,Jose Siri,NYM,Batter,24,10,-0.1,0.1,0.208,0,1,2,5,0.167,0.333,0.05,2400000
449,Sergio Alcántara,SFG,Batter,4,1,-0.1,0,0,0,0,0,0,0,0.5,0,760000
450,Jared Young,NYM,Batter,45,19,-0.1,0.415,0.222,3,5,0,4,0.044,0.333,0.171,1150000
451,Ji Hwan Bae,PIT,Batter,12,7,-0.1,0.091,0.167,0,0,2,3,0.083,0.417,0.091,760000
452,Tsung-Che Cheng,PIT,Batter,7,3,-0.1,0,0,0,0,0,0,0,0.429,0,760000
453,Nick Maton,CHW,Batter,63,25,-0.1,0.315,0.286,2,4,0,5,0.143,0.302,0.167,760000
454,Vidal Bruján,CHC,Batter,39,31,-0.1,0.263,0.205,0,2,2,6,0.026,0.282,0.184,783500
455,Andrés Chaparro,WSN,Batter,12,4,-0.1,0.182,0.167,0,0,0,0,0.083,0.25,0.091,760000
456,Manuel Margot,DET,Batter,20,6,-0.2,0.316,0.3,0,3,0,1,0,0.3,0.316,760000
457,Daz Cameron,MIL,Batter,42,21,-0.2,0.293,0.214,1,3,1,7,0.024,0.31,0.195,760000
458,Brice Matthews,HOU,Batter,7,2,-0.2,0,0,0,0,0,0,0,0.714,0,760000
459,Christian Vázquez,MIN,Batter,162,51,-0.2,0.252,0.241,2,9,0,10,0.08,0.173,0.17,10000000
460,Tyler Wade,SDP,Batter,124,57,-0.2,0.26,0.317,0,9,1,13,0.121,0.25,0.212,850000
461,Gary Sánchez,BAL,Batter,101,30,-0.2,0.418,0.297,5,24,0,13,0.04,0.267,0.231,8500000
462,Braxton Fulford,COL,Batter,42,14,-0.2,0.425,0.262,1,11,1,4,0.024,0.429,0.25,760000
463,Ryan Vilade,CIN,Batter,15,8,-0.2,0.077,0.2,0,0,0,1,0.133,0.333,0.077,760000
464,Luis Vázquez,BAL,Batter,13,11,-0.2,0.077,0.077,0,1,0,1,0,0.231,0.077,760000
465,Will Wagner,TOR,Batter,100,30,-0.2,0.279,0.323,0,2,1,10,0.11,0.22,0.221,763000
466,Kristian Campbell,BOS,Batter,263,67,-0.2,0.345,0.319,6,21,2,24,0.11,0.274,0.223,760000
467,Alexander Canario,PIT,Batter,163,53,-0.2,0.329,0.288,3,13,2,18,0.086,0.319,0.221,760000
468,Jorbit Vivas,NYY,Batter,55,23,-0.2,0.255,0.245,1,4,0,6,0.073,0.218,0.149,760000
469,Jonathan India,KCR,Batter,387,89,-0.2,0.348,0.332,4,24,0,40,0.09,0.163,0.251,7050000
470,Tirso Ornelas,SDP,Batter,16,7,-0.2,0.071,0.188,0,1,0,0,0.125,0.125,0.071,760000
471,J.D. Davis,LAA,Batter,9,5,-0.2,0.111,0.111,0,0,0,0,0,0.333,0.111,760000
472,Dylan Carlson,BAL,Batter,118,41,-0.2,0.378,0.271,4,12,2,10,0.051,0.263,0.234,760000
473,Will Robertson,CHW,Batter,17,6,-0.2,0.067,0.176,0,1,0,1,0.059,0.647,0.067,760000
474,Gage Workman,CHW,Batter,17,12,-0.2,0.25,0.235,0,2,1,0,0.059,0.412,0.188,760000
475,Moisés Ballesteros,CHC,Batter,18,5,-0.2,0.188,0.278,0,3,0,3,0.111,0.056,0.188,760000
476,Matt Vierling,DET,Batter,47,13,-0.2,0.184,0.298,0,4,1,2,0.128,0.191,0.158,3005000
477,Blaine Crim,TEX,Batter,13,5,-0.2,0,0.154,0,0,0,1,0.077,0.462,0,760000
478,Justin Turner,CHC,Batter,129,48,-0.2,0.297,0.295,2,13,1,8,0.101,0.171,0.216,6000000
479,Blake Sabol,BOS,Batter,18,8,-0.2,0.188,0.167,0,1,0,2,0.056,0.389,0.125,760000
480,Austin Barnes,LAD,Batter,44,13,-0.2,0.286,0.233,0,2,0,4,0.023,0.318,0.214,760000
481,Nick Castellanos,PHI,Batter,390,95,-0.2,0.438,0.313,12,51,3,43,0.051,0.205,0.273,20000000
482,Austin Nola,COL,Batter,15,4,-0.2,0.143,0.143,0,0,0,1,0,0.067,0.143,760000
483,Jonatan Clase,TOR,Batter,112,34,-0.2,0.3,0.288,2,9,3,10,0.089,0.25,0.21,760000
484,Jace Jung,DET,Batter,53,18,-0.2,0.111,0.245,0,3,0,8,0.132,0.283,0.111,760000
485,Nick Sogard,BOS,Batter,65,17,-0.2,0.339,0.323,0,3,0,10,0.046,0.185,0.254,760000
486,Cavan Biggio,KCR,Batter,83,37,-0.2,0.246,0.296,1,4,1,9,0.133,0.253,0.174,760000
487,Max Muncy,ATH,Batter,203,55,-0.2,0.398,0.261,9,23,1,17,0.044,0.315,0.22,760000
488,Yordan Alvarez,HOU,Batter,121,29,-0.2,0.34,0.306,3,18,1,7,0.132,0.174,0.21,15833333
489,Nicky Lopez,CHC,Batter,28,19,-0.3,0.042,0.179,0,1,0,2,0.143,0.143,0.042,760000
490,José Barrero,STL,Batter,31,22,-0.3,0.276,0.194,1,3,0,4,0.032,0.29,0.138,760000
491,Alejandro Osuna,TEX,Batter,80,28,-0.3,0.227,0.288,1,5,3,6,0.138,0.213,0.167,760000
492,CJ Alexander,ATH,Batter,17,6,-0.3,0.176,0.176,0,0,0,0,0,0.471,0.176,760000
493,Aaron Schunk,COL,Batter,29,11,-0.3,0.25,0.214,0,0,0,1,0,0.276,0.214,760000
494,Ezequiel Duran,TEX,Batter,90,39,-0.3,0.225,0.225,0,5,4,4,0.044,0.311,0.15,776500
495,Matt Gorski,PIT,Batter,42,15,-0.3,0.39,0.214,2,4,0,2,0.024,0.381,0.195,760000
496,Scott Kingery,LAA,Batter,27,13,-0.3,0.2,0.222,0,0,1,3,0.074,0.37,0.16,760000
497,Drew Avans,MIL,Batter,18,8,-0.3,0.118,0.111,0,1,1,1,0,0.333,0.118,760000
498,Victor Robles,SEA,Batter,46,10,-0.3,0.341,0.283,0,3,3,3,0,0.152,0.273,4125000
499,Elias Díaz,SDP,Batter,205,76,-0.3,0.29,0.265,4,12,0,22,0.083,0.263,0.194,1500000
500,Oliver Dunn,MIL,Batter,41,14,-0.3,0.222,0.205,0,6,1,4,0.049,0.268,0.167,760000
501,Brayan Rocchio,CLE,Batter,142,48,-0.3,0.278,0.252,1,12,2,11,0.049,0.197,0.19,771000
502,Brendan Rodgers,HOU,Batter,128,43,-0.3,0.278,0.266,2,11,0,12,0.086,0.359,0.191,2000000
503,Mickey Gasper,MIN,Batter,39,17,-0.3,0.206,0.282,0,3,0,5,0.103,0.231,0.176,760000
504,Oscar Gonzalez,SDP,Batter,61,21,-0.3,0.237,0.246,0,4,0,2,0.033,0.213,0.22,760000
505,Zac Veen,COL,Batter,37,12,-0.3,0.235,0.189,1,2,1,1,0.054,0.378,0.118,760000
506,Zack Gelof,ATH,Batter,28,8,-0.3,0.08,0.143,0,1,0,3,0.071,0.464,0.08,765000
507,Kevin Pillar,TEX,Batter,43,20,-0.3,0.256,0.209,0,1,3,6,0,0.186,0.209,760000
508,Luke Williams,ATL,Batter,19,27,-0.3,0.167,0.158,0,2,3,3,0,0.316,0.111,760000
509,Jack Suwinski,PIT,Batter,62,22,-0.3,0.189,0.242,1,2,5,5,0.145,0.403,0.113,785000
510,Ryan Mountcastle,BAL,Batter,200,52,-0.3,0.348,0.28,2,15,1,19,0.04,0.23,0.246,6787000
511,Jack Winkler,MIA,Batter,11,9,-0.3,0.091,0.091,0,0,1,1,0,0.364,0.091,760000
512,David Hamilton,BOS,Batter,133,62,-0.3,0.276,0.229,3,12,15,16,0.053,0.233,0.179,760000
513,Andrew Knizner,SFG,Batter,43,15,-0.3,0.22,0.167,1,1,0,7,0.023,0.14,0.146,943548
514,Logan Davidson,ATH,Batter,24,9,-0.3,0.2,0.261,0,2,0,1,0.125,0.5,0.15,760000
515,Tim Elko,CHW,Batter,67,20,-0.3,0.355,0.209,4,8,1,6,0.075,0.418,0.145,760000
516,Jake McCarthy,ARI,Batter,102,29,-0.3,0.244,0.228,2,9,3,7,0.088,0.157,0.144,803900
517,Alan Trejo,COL,Batter,43,14,-0.3,0.225,0.19,0,1,0,3,0.023,0.163,0.175,760000
518,Coby Mayo,BAL,Batter,85,27,-0.3,0.304,0.259,1,9,1,8,0.071,0.259,0.203,760000
519,Michael Conforto,LAD,Batter,297,81,-0.3,0.319,0.296,8,23,1,36,0.114,0.236,0.181,17000000
520,Ryan Noda,CHW,Batter,45,16,-0.4,0.176,0.295,1,1,0,3,0.222,0.422,0.088,760000
521,Nick Solak,PIT,Batter,11,4,-0.4,0.091,0.091,0,0,0,0,0,0.182,0.091,760000
522,Shay Whitcomb,HOU,Batter,19,12,-0.4,0.211,0.053,1,1,0,1,0,0.316,0.053,760000
523,Luis Campusano,SDP,Batter,27,10,-0.4,0,0.222,0,0,0,0,0.222,0.407,0,760000
524,Rowdy Tellez,SEA,Batter,185,62,-0.4,0.434,0.249,11,27,1,20,0.043,0.265,0.208,1000000
525,Michael Harris II,ATL,Batter,368,93,-0.4,0.317,0.234,6,44,12,22,0.027,0.209,0.21,8000000
526,Chad Stevens,LAA,Batter,14,5,-0.4,0.154,0.154,0,0,0,1,0,0.5,0.154,760000
527,Pablo Reyes,NYY,Batter,34,25,-0.4,0.226,0.242,0,2,1,4,0.059,0.294,0.194,760000
528,Luis Matos,SFG,Batter,98,31,-0.4,0.387,0.214,5,12,2,11,0.051,0.163,0.172,780000
529,MJ Melendez,KCR,Batter,52,16,-0.4,0.17,0.173,1,1,0,4,0.058,0.385,0.085,760000
530,Mark Vientos,NYM,Batter,254,66,-0.4,0.361,0.28,6,24,0,22,0.067,0.244,0.223,788750
531,Seth Brown,ATH,Batter,76,38,-0.4,0.262,0.303,1,3,1,6,0.118,0.303,0.185,760000
532,Ryan Kreidler,DET,Batter,44,17,-0.4,0.105,0.19,0,0,2,5,0.091,0.432,0.105,760000
533,Jared Triolo,PIT,Batter,160,55,-0.4,0.266,0.253,3,10,5,12,0.106,0.181,0.158,760000
534,Jose Miranda,MIN,Batter,36,12,-0.4,0.25,0.167,1,5,0,2,0,0.361,0.167,760000
535,Bryan De La Cruz,ATL,Batter,50,16,-0.4,0.213,0.24,0,0,1,1,0.06,0.36,0.191,760000
536,Ronny Simon,MIA,Batter,56,19,-0.4,0.277,0.327,0,5,0,6,0.125,0.125,0.234,760000
537,David Fry,CLE,Batter,73,31,-0.4,0.299,0.219,3,5,1,5,0.068,0.411,0.149,781900
538,Jorge Mateo,BAL,Batter,65,32,-0.4,0.279,0.231,1,3,14,7,0.062,0.354,0.18,3550000
539,Nathaniel Lowe,WSN,Batter,402,96,-0.4,0.392,0.294,14,61,1,44,0.085,0.274,0.227,10300000
540,Yuli Gurriel,SDP,Batter,40,16,-0.4,0.139,0.2,0,3,0,2,0.1,0.2,0.111,760000
541,Jon Berti,CHC,Batter,96,45,-0.4,0.222,0.25,0,2,9,11,0.052,0.208,0.2,2000000
542,Jarred Kelenic,ATL,Batter,65,23,-0.4,0.3,0.231,2,2,0,7,0.077,0.354,0.167,760000
543,Matt Mervis,MIA,Batter,134,42,-0.4,0.383,0.254,7,14,0,15,0.082,0.373,0.175,760000
544,Nick Martini,COL,Batter,111,43,-0.4,0.294,0.288,1,4,0,9,0.081,0.162,0.225,760000
545,Trenton Brooks,SDP,Batter,37,20,-0.4,0.306,0.189,1,2,0,5,0.027,0.351,0.167,760000
546,John Rave,KCR,Batter,80,35,-0.4,0.235,0.269,0,6,4,5,0.113,0.263,0.176,760000
547,Jake Burger,TEX,Batter,286,75,-0.4,0.401,0.259,11,35,1,33,0.028,0.255,0.228,790000
548,Eric Wagaman,MIA,Batter,348,86,-0.4,0.356,0.284,5,33,3,33,0.06,0.195,0.241,770000
549,Josh Bell,WSN,Batter,326,84,-0.5,0.372,0.307,11,36,0,29,0.104,0.175,0.219,6000000
550,Will Wilson,CLE,Batter,74,29,-0.5,0.206,0.243,0,1,1,3,0.081,0.392,0.159,760000
551,Brooks Baldwin,CHW,Batter,169,54,-0.5,0.357,0.271,4,20,3,12,0.053,0.284,0.227,762625
552,JJ Bleday,ATH,Batter,233,62,-0.5,0.358,0.288,8,22,1,30,0.12,0.245,0.191,760000
553,Oswald Peraza,NYY,Batter,160,63,-0.5,0.243,0.213,3,13,1,16,0.069,0.281,0.149,772700
554,Jason Heyward,SDP,Batter,95,34,-0.5,0.271,0.223,2,12,0,9,0.063,0.211,0.176,760000
555,Lane Thomas,CLE,Batter,142,39,-0.5,0.272,0.246,4,11,4,10,0.099,0.31,0.16,7825000
556,Robert Hassell III,WSN,Batter,79,21,-0.5,0.269,0.228,1,8,1,6,0.013,0.266,0.218,760000
557,Jorge Soler,LAA,Batter,300,77,-0.5,0.368,0.288,10,32,0,29,0.087,0.303,0.211,13000000
558,Rece Hinds,CIN,Batter,43,14,-0.5,0.286,0.14,2,3,0,6,0.023,0.465,0.119,760000
559,Kris Bryant,COL,Batter,41,11,-0.5,0.205,0.195,0,1,0,2,0.049,0.317,0.154,27000000
560,Jordan Lawlar,ARI,Batter,22,8,-0.5,0,0.136,0,0,0,1,0.136,0.409,0,760000
561,Tyler O'Neill,BAL,Batter,118,30,-0.5,0.314,0.271,3,11,2,11,0.093,0.271,0.176,16500000
562,Edouard Julien,MIN,Batter,104,29,-0.5,0.319,0.288,2,8,0,8,0.106,0.279,0.198,760000
563,Connor Wong,BOS,Batter,98,34,-0.5,0.149,0.235,0,1,1,6,0.092,0.245,0.149,790000
564,Maverick Handley,BAL,Batter,47,16,-0.6,0.073,0.133,0,3,0,2,0.043,0.383,0.073,760000
565,Johnathan Rodríguez,CLE,Batter,53,21,-0.6,0.22,0.189,0,3,0,4,0.057,0.302,0.14,760900
566,Drew Waters,KCR,Batter,219,71,-0.6,0.316,0.288,1,14,5,21,0.05,0.274,0.243,760000
567,Jose Iglesias,SDP,Batter,203,66,-0.6,0.264,0.294,0,23,2,13,0.059,0.177,0.231,3000000
568,Christian Encarnacion-St...,CIN,Batter,137,36,-0.6,0.377,0.234,6,19,0,13,0.022,0.234,0.208,760000
569,Riley Adams,WSN,Batter,111,34,-0.6,0.305,0.198,4,11,0,12,0.045,0.423,0.152,850000
570,Triston Casas,BOS,Batter,112,29,-0.6,0.303,0.277,3,11,0,5,0.098,0.241,0.182,774000
571,Kevin Newman,LAA,Batter,96,48,-0.6,0.255,0.211,1,8,1,9,0.01,0.188,0.202,2500000
572,Endy Rodríguez,PIT,Batter,57,18,-0.6,0.25,0.246,0,2,0,5,0.088,0.246,0.173,775000
573,Bryan Reynolds,PIT,Batter,390,91,-0.7,0.369,0.287,10,46,3,33,0.077,0.272,0.225,12250000
574,Connor Joe,CIN,Batter,71,32,-0.7,0.254,0.254,0,4,2,2,0.085,0.254,0.19,1000000
575,Jeimer Candelario,CIN,Batter,91,22,-0.7,0.213,0.198,2,10,0,3,0.099,0.319,0.113,760000
576,Daylen Lile,WSN,Batter,121,33,-0.7,0.351,0.283,2,8,3,14,0.058,0.14,0.234,760000
577,Mark Canha,KCR,Batter,125,46,-0.7,0.265,0.272,1,6,0,9,0.056,0.192,0.212,1400000
578,Jonah Bride,MIN,Batter,125,45,-0.7,0.188,0.248,0,5,0,7,0.088,0.312,0.17,760000
579,Joshua Palacios,CHW,Batter,145,51,-0.7,0.305,0.292,3,9,0,11,0.083,0.248,0.203,760000
580,Ben Rortvedt,TBR,Batter,70,26,-0.7,0.111,0.186,0,6,0,2,0.1,0.2,0.095,760000
581,Joc Pederson,TEX,Batter,146,46,-0.7,0.238,0.269,2,6,1,10,0.137,0.192,0.131,18500000
582,Sean Bouchard,COL,Batter,73,32,-0.7,0.242,0.247,1,7,1,7,0.096,0.37,0.167,760000
583,Leody Taveras,SEA,Batter,180,58,-0.7,0.304,0.226,3,17,9,13,0.028,0.278,0.205,760000
584,Luis Rengifo,LAA,Batter,334,89,-0.7,0.319,0.276,4,22,2,30,0.051,0.18,0.236,5950000
585,Brenton Doyle,COL,Batter,331,82,-0.8,0.322,0.254,7,30,9,33,0.066,0.26,0.202,765000
586,Kyle Farmer,COL,Batter,220,68,-0.8,0.345,0.264,4,20,0,12,0.045,0.218,0.218,2500000
587,Adael Amador,COL,Batter,102,33,-0.8,0.225,0.24,1,5,1,3,0.098,0.245,0.146,760000
588,Jordan Walker,STL,Batter,191,55,-0.8,0.295,0.267,3,23,3,21,0.063,0.33,0.21,770800
589,DaShawn Keirsey Jr.,MIN,Batter,72,59,-0.8,0.145,0.139,1,4,6,7,0.028,0.333,0.101,761250
590,Anthony Santander,TOR,Batter,209,50,-0.8,0.304,0.273,6,18,0,14,0.115,0.263,0.179,9140600
591,Jacob Amaya,CHW,Batter,68,34,-0.8,0.113,0.119,0,7,2,6,0.029,0.221,0.097,760000
592,Orlando Arcia,COL,Batter,122,42,-0.9,0.276,0.23,2,6,0,7,0.049,0.197,0.19,760000
593,Alex Verdugo,ATL,Batter,213,56,-0.9,0.289,0.296,0,12,1,21,0.066,0.146,0.239,760000
594,Vinny Capra,CHW,Batter,105,47,-0.9,0.177,0.157,1,6,2,10,0.029,0.238,0.125,760000
595,Hunter Renfroe,KCR,Batter,108,35,-1,0.242,0.241,0,4,0,5,0.074,0.194,0.182,760000
596,Keibert Ruiz,WSN,Batter,267,68,-1,0.318,0.277,2,25,0,19,0.03,0.097,0.247,5375000
597,Andrew Vaughn,MIL,Batter,209,53,-1,0.362,0.239,7,29,0,12,0.043,0.215,0.206,5850000
598,Martín Maldonado,SDP,Batter,141,56,-1,0.295,0.221,4,10,0,8,0.05,0.369,0.178,1000000
599,Josh Rojas,CHW,Batter,177,56,-1.1,0.239,0.244,1,9,4,11,0.085,0.254,0.176,3500000
600,Jacob Stallings,BAL,Batter,115,37,-1.1,0.181,0.211,0,8,0,4,0.052,0.322,0.143,760000
601,Michael Massey,KCR,Batter,209,56,-1.1,0.258,0.221,2,14,1,10,0.024,0.153,0.202,790250
602,Jhonkensy Noel,CLE,Batter,111,49,-1.1,0.215,0.162,2,9,0,12,0.027,0.315,0.14,760000
603,Heston Kjerstad,BAL,Batter,167,54,-1.2,0.327,0.24,4,19,1,16,0.036,0.269,0.192,760000
604,Jac Caglianone,KCR,Batter,138,35,-1.3,0.264,0.196,4,7,1,7,0.043,0.217,0.14,760000
605,Michael Toglia,COL,Batter,305,78,-1.5,0.37,0.272,10,31,3,20,0.085,0.38,0.203,765000
606,LaMonte Wade Jr.,LAA,Batter,220,71,-1.5,0.243,0.271,1,17,1,17,0.114,0.227,0.164,5000000
,Name,,,,,,,,,,,,,,,
