Unnamed: 0,Name,Team,Type,W,L,SV,G,IP,K/9,BB/9,HR/9,ERA,FIP,WAR,Salary (Per Season)
1,Tarik Skubal,DET,Pitcher,10,3,0,19,121,11.38,1.19,0.67,2.23,2.02,4.7,10150000
2,Garrett Crochet,BOS,Pitcher,10,4,0,20,129.1,11.13,2.37,0.7,2.23,2.4,4.3,3800000
3,Paul Skenes,PIT,Pitcher,4,8,0,20,121,9.74,2.23,0.45,2.01,2.4,4,875000
4,Zack Wheeler,PHI,Pitcher,9,3,0,19,122,11.36,1.92,0.96,2.36,2.68,3.7,42000000
5,Logan Webb,SFG,Pitcher,9,6,0,20,125.2,9.95,2.01,0.64,2.94,2.52,3.4,12000000
6,Cristopher Sánchez,PHI,Pitcher,8,2,0,19,115,9.55,2.5,0.55,2.5,2.74,3.2,2050000
7,Kris Bubic,KCR,Pitcher,7,6,0,18,108.2,9.36,2.82,0.5,2.48,2.74,3.1,3000000
8,MacKenzie Gore,WSN,Pitcher,4,8,0,19,110.1,11.26,2.85,0.9,3.02,2.91,3.1,2890000
9,Jesús Luzardo,PHI,Pitcher,8,5,0,19,104.1,10.52,3.11,0.6,4.14,2.68,3.1,6625000
10,Sonny Gray,STL,Pitcher,9,3,0,19,108,9.83,1.58,0.83,3.5,2.71,3,25000000
11,Framber Valdez,HOU,Pitcher,10,4,0,19,121,9.3,3.05,0.6,2.75,3.02,3,18000000
12,Nathan Eovaldi,TEX,Pitcher,7,3,0,16,91,9.3,1.38,0.49,1.58,2.36,3,22100000
13,Hunter Brown,HOU,Pitcher,9,4,0,19,115,10.72,2.66,0.94,2.43,3.02,3,870000
14,Max Fried,NYY,Pitcher,11,3,0,20,122,8.34,1.99,0.66,2.43,3.02,2.9,14500000
15,Nick Pivetta,SDP,Pitcher,9,2,0,19,109.1,10.04,2.39,0.99,2.88,3.1,2.7,2500000
16,Matthew Boyd,CHC,Pitcher,10,3,0,19,111.2,8.22,1.85,0.81,2.34,3.17,2.7,10000000
17,Jacob deGrom,TEX,Pitcher,9,2,0,19,112.1,9.05,1.92,1.04,2.32,3.27,2.7,40100000
18,Mitch Keller,PIT,Pitcher,3,10,0,20,119,6.96,2.04,0.68,3.48,3.33,2.6,15411500
19,Joe Ryan,MIN,Pitcher,9,4,0,19,109.1,9.96,1.89,0.99,2.72,3.2,2.6,3000000
20,Chris Sale,ATL,Pitcher,5,4,0,15,89.1,11.49,2.62,0.71,2.52,2.66,2.5,22000000
21,José Soriano,LAA,Pitcher,6,7,0,20,113,7.81,4.38,0.32,3.9,3.35,2.4,790000
22,Yoshinobu Yamamoto,LAD,Pitcher,7,7,0,18,99.1,10.15,3.17,0.91,2.63,3.25,2.4,18333333
23,Ranger Suárez,PHI,Pitcher,7,3,0,13,83.2,8.39,2.37,0.65,2.15,2.97,2.4,8800000
24,Bryan Woo,SEA,Pitcher,8,4,0,18,114.2,8.56,1.65,1.1,2.75,3.4,2.3,783300
25,Freddy Peralta,MIL,Pitcher,11,4,0,20,111.2,9.51,2.98,0.97,2.66,3.55,2.3,8100000
26,Spencer Schwellenbach,ATL,Pitcher,7,4,0,17,110.2,8.78,1.46,1.06,3.09,3.2,2.3,770000
27,Andrew Abbott,CIN,Pitcher,8,1,0,16,91.1,8.18,2.36,0.99,2.07,3.51,2.1,770000
28,Carlos Rodón,NYY,Pitcher,10,6,0,20,119.2,10.15,3.08,1.13,3.08,3.58,2.1,27833333
29,Merrill Kelly,ARI,Pitcher,8,5,0,20,116,8.77,2.56,1.01,3.34,3.47,2.1,7000000
30,David Peterson,NYM,Pitcher,6,4,0,18,109,7.68,3.06,0.58,3.06,3.37,2.1,4625000
31,Chad Patrick,MIL,Pitcher,3,7,0,19,94.2,9.03,2.85,0.95,3.52,3.53,2,740000
32,Robbie Ray,SFG,Pitcher,9,3,0,20,119,9.68,3.33,0.98,2.65,3.49,1.9,25000000
33,Yusei Kikuchi,LAA,Pitcher,4,6,0,20,113,9.16,3.9,1.12,3.11,3.98,1.9,21225000
34,Michael Wacha,KCR,Pitcher,4,9,0,19,106,7.13,2.8,0.93,3.74,3.87,1.8,18000000
35,Dylan Cease,SDP,Pitcher,3,9,0,19,103.1,11.24,3.4,1.31,4.88,3.69,1.8,13750000
36,Kodai Senga,NYM,Pitcher,7,3,0,14,77.2,8.58,3.82,0.46,1.39,3.16,1.8,15000000
37,Aroldis Chapman,BOS,Pitcher,3,2,17,41,38,13.74,2.37,0.47,1.18,1.5,1.8,10750000
38,Will Warren,NYY,Pitcher,6,5,0,20,95.1,10.57,4.15,0.85,4.63,3.41,1.8,767600
39,Matthew Liberatore,STL,Pitcher,6,7,0,18,100.1,7.18,1.97,0.9,4.13,3.5,1.8,775800
40,Robert Suarez,SDP,Pitcher,2,4,28,43,40.2,9.52,2.66,0.22,3.54,2.25,1.7,10000000
41,Chris Bassitt,TOR,Pitcher,9,4,0,20,107,8.75,2.44,1.09,4.12,3.78,1.7,22000000
42,Randy Rodríguez,SFG,Pitcher,3,1,1,41,41.2,11.88,1.73,0.22,0.86,1.4,1.7,770000
43,Kyle Freeland,COL,Pitcher,1,10,0,17,89.1,6.75,2.22,0.91,5.44,3.7,1.7,16000000
44,Tyler Mahle,TEX,Pitcher,6,3,0,14,77,6.55,3.16,0.47,2.34,3.35,1.7,16500000
45,Dean Kremer,BAL,Pitcher,8,7,0,19,108.1,7.31,2.24,1.16,4.24,3.91,1.7,2950000
46,Cole Ragans,KCR,Pitcher,2,3,0,10,48.2,14.05,2.96,0.92,5.18,2.4,1.6,1083333
47,Janson Junk,MIA,Pitcher,4,1,1,10,50.1,6.79,0.72,0.18,2.68,2.13,1.6,760000
48,Kevin Gausman,TOR,Pitcher,6,7,0,19,109.2,8.53,2.79,1.15,4.19,3.86,1.6,23000000
49,Nick Martinez,CIN,Pitcher,7,9,0,21,111,6.16,2.03,1.14,4.78,4.14,1.6,21050000
50,Pablo López,MIN,Pitcher,5,3,0,11,60.2,9.05,2.08,0.74,2.82,2.98,1.6,21750000
51,Drew Rasmussen,TBR,Pitcher,7,5,0,19,91.1,7.59,2.17,0.99,2.86,3.67,1.6,2250000
52,Adrian Houser,CHW,Pitcher,5,2,0,9,57.2,6.09,2.81,0.31,1.56,3.12,1.6,1375000
53,Nick Lodolo,CIN,Pitcher,6,6,0,19,106.2,8.18,1.86,1.27,3.38,4.02,1.5,1975000
54,Adrian Morejon,SDP,Pitcher,7,4,2,47,43.2,8.66,1.85,0.21,1.85,2.07,1.5,2000000
55,Brady Singer,CIN,Pitcher,7,7,0,19,100,8.28,3.6,0.99,4.32,4.02,1.5,8750000
56,Hunter Greene,CIN,Pitcher,4,3,0,11,59.2,11.01,2.11,1.36,2.72,3.4,1.5,6333333
57,Luis Castillo,SEA,Pitcher,6,5,0,19,108.1,7.73,2.82,1,3.41,3.83,1.5,24150000
58,Tylor Megill,NYM,Pitcher,5,5,0,14,68.1,11.72,4.35,0.79,3.95,3.37,1.5,1975000
59,Griffin Jax,MIN,Pitcher,1,4,0,44,41.1,14.37,2.18,0.87,3.92,1.87,1.4,740000
60,Michael King,SDP,Pitcher,4,2,0,10,55.2,10.35,2.75,0.97,2.59,3.21,1.4,4000000
61,Logan Gilbert,SEA,Pitcher,2,3,0,12,61,12.98,2.21,1.33,3.39,2.95,1.4,7625000
62,Hoby Milner,TEX,Pitcher,1,2,0,44,46,7.83,2.54,0,2.35,2.19,1.4,2500000
63,Ryan Pepiot,TBR,Pitcher,6,7,0,20,114.1,8.66,2.91,1.42,3.38,4.31,1.4,774600
64,Taj Bradley,TBR,Pitcher,5,6,0,19,103.2,7.73,3.47,1.04,4.6,4.14,1.4,774200
65,Luis Severino,ATH,Pitcher,2,11,0,20,113.1,6.43,3.02,0.95,5.16,4.33,1.4,20000000
66,Jhoan Duran,MIN,Pitcher,5,4,15,44,43.1,10.18,3.32,0,1.66,2.14,1.3,4125000
67,Cade Smith,CLE,Pitcher,2,3,3,43,41,13.39,3.51,0.44,3.07,2.06,1.3,785100
68,Lucas Giolito,BOS,Pitcher,6,1,0,13,72.1,7.96,2.61,1,3.36,3.62,1.3,19000000
69,José Berríos,TOR,Pitcher,5,4,0,20,115.1,7.57,3.2,1.17,3.75,4.29,1.3,19000000
70,Casey Mize,DET,Pitcher,9,3,0,16,88.2,7.82,2.23,1.22,3.15,3.88,1.3,2340000
71,Bryan Abreu,HOU,Pitcher,3,3,0,42,42.1,14.03,4.25,0.64,1.7,2.44,1.3,3450000
72,Andrés Muñoz,SEA,Pitcher,3,1,21,37,36,11.5,3.5,0.25,1.5,2.22,1.3,740000
73,Reese Olson,DET,Pitcher,4,3,0,11,58,8.53,3.41,0.47,2.95,3.2,1.2,787100
74,Clarke Schmidt,NYY,Pitcher,4,4,0,14,78.2,8.35,3.43,1.03,3.32,3.9,1.2,3600000
75,Edward Cabrera,MIA,Pitcher,3,4,0,16,82.1,9.4,3.28,0.98,3.61,3.69,1.2,1950000
76,Germán Márquez,COL,Pitcher,3,10,0,19,95.1,6.7,2.93,1.13,5.57,4.36,1.2,10000000
77,Noah Cameron,KCR,Pitcher,3,4,0,12,70,7.46,2.83,0.9,2.31,3.67,1.2,760000
78,Jack Dreyer,LAD,Pitcher,2,2,0,36,47.1,8.75,3.61,0.19,2.85,2.62,1.2,760000
79,Edwin Díaz,NYM,Pitcher,4,0,19,37,38,13.03,3.08,0.47,1.66,2.13,1.2,21550000
80,Landen Roupp,SFG,Pitcher,6,6,0,19,96.1,8.31,3.83,0.75,3.27,3.65,1.2,765000
81,Trevor Williams,WSN,Pitcher,3,10,0,17,82.2,7.08,2.29,1.2,6.21,4.07,1.2,7000000
82,Trevor Rogers,BAL,Pitcher,2,1,0,6,35.1,8.15,2.55,0.25,1.53,2.57,1.2,2600000
83,Bennett Sousa,HOU,Pitcher,3,0,3,30,37.1,10.85,1.93,0.24,2.17,1.66,1.1,760000
84,Chris Paddack,MIN,Pitcher,3,8,0,19,100,6.3,2.25,1.26,4.95,4.34,1.1,7500000
85,Shane Baz,TBR,Pitcher,8,5,0,19,110,8.75,3.27,1.39,4.17,4.4,1.1,1450000
86,Ben Casparius,LAD,Pitcher,7,3,0,27,61.2,8.46,1.75,1.02,4.52,3.31,1.1,762500
87,Shane Smith,CHW,Pitcher,3,7,0,18,86.2,8.41,3.84,0.93,4.26,4.19,1.1,760000
88,Will Vest,DET,Pitcher,5,1,15,40,43,10.05,3.14,0.42,2.3,2.5,1.1,1400000
89,Emmanuel Clase,CLE,Pitcher,5,2,20,43,43.1,8.72,2.08,0.21,2.91,2.41,1.1,4900000
90,Steven Matz,STL,Pitcher,5,2,1,28,51,7.94,1.59,0.71,3.35,2.93,1.1,12500000
91,David Bednar,PIT,Pitcher,2,5,13,36,32,12.66,2.53,0.56,2.53,2.02,1.1,5900000
92,Brendon Little,TOR,Pitcher,4,1,0,45,44.1,13.2,5.68,0.2,2.03,2.41,1.1,771800
93,Seth Lugo,KCR,Pitcher,6,5,0,17,101,7.84,2.76,1.34,2.67,4.28,1,15000000
94,Sean Newcomb,2 Tms,Pitcher,2,4,0,27,64.1,8.95,3.5,0.56,3.5,3.25,1,1000000
95,Eury Pérez,MIA,Pitcher,3,2,0,7,34,9.26,2.91,0.53,3.18,2.85,1,769500
96,Steven Okert,HOU,Pitcher,1,2,1,39,42.2,10.55,1.48,0.84,2.32,2.59,1,1200000
97,Dennis Santana,PIT,Pitcher,3,2,5,40,40.1,6.47,1.56,0.22,1.56,2.49,1,1400000
98,Clay Holmes,NYM,Pitcher,8,4,0,19,103.1,7.23,3.57,0.96,3.31,4.22,1,13000000
99,Jason Adam,SDP,Pitcher,6,3,0,47,47.2,9.82,3.97,0.38,1.7,2.89,1,4800000
100,Ryan Gusto,HOU,Pitcher,6,3,0,20,74.2,9.16,3.13,1.33,4.58,4.09,1,760000
101,Jake Bird,COL,Pitcher,3,1,0,40,49.2,10.69,3.81,0.54,3.62,2.94,1,770000
102,Louis Varland,MIN,Pitcher,3,3,0,46,44.2,8.66,2.22,0.6,1.81,2.9,1,768150
103,Trevor Megill,MIL,Pitcher,2,2,21,36,33.2,11.5,4.01,0.53,2.41,2.64,1,1940000
104,Nick Mears,MIL,Pitcher,1,2,0,41,37.1,7.47,1.21,0.48,2.41,2.52,1,963000
105,Danny Coulombe,MIN,Pitcher,1,0,2,35,26.2,9.79,2.36,0,0.68,1.69,0.9,3000000
106,Pete Fairbanks,TBR,Pitcher,4,3,15,37,36,7.75,3.75,0.25,2.75,2.97,0.9,3817000
107,Josh Hader,HOU,Pitcher,5,2,25,40,42.2,13.71,1.9,1.69,2.53,3.25,0.9,19075000
108,Garrett Whitlock,BOS,Pitcher,5,1,1,35,45.1,11.32,3.77,0.4,3.38,2.66,0.9,5500000
109,Spencer Strider,ATL,Pitcher,3,7,0,11,61.2,10.8,3.5,1.17,3.94,3.73,0.9,4000000
110,Hunter Dobbins,BOS,Pitcher,4,1,0,13,61,6.64,2.51,0.89,4.13,3.82,0.9,760000
111,Ben Brown,CHC,Pitcher,4,5,0,15,76.2,10.1,2.82,1.53,6.1,4.14,0.9,740000
112,Griffin Canning,NYM,Pitcher,7,3,0,16,76.1,8.25,4.13,0.94,3.77,3.99,0.9,4250000
113,Jeremiah Estrada,SDP,Pitcher,3,4,3,46,43,12.56,3.35,1.05,2.93,3.06,0.9,776500
114,Patrick Corbin,TEX,Pitcher,6,7,0,17,93.1,7.14,2.6,1.35,4.15,4.35,0.9,1100000
115,Phil Maton,STL,Pitcher,1,3,2,37,35.1,11.46,3.57,0.25,2.55,2.52,0.9,2000000
116,Brayan Bello,BOS,Pitcher,6,3,0,16,91.2,6.87,3.34,0.88,3.14,4.21,0.9,2666666
117,Mason Miller,ATH,Pitcher,1,2,19,35,35.2,14.38,4.29,1.01,4.04,2.86,0.9,765000
118,Bryan King,HOU,Pitcher,3,1,0,40,39,9.92,1.85,0.69,2.77,2.72,0.9,766400
119,Jack Flaherty,DET,Pitcher,5,9,0,19,100.2,11.09,3.58,1.7,4.65,4.35,0.9,25000000
120,Brad Lord,WSN,Pitcher,2,5,0,35,65,7.75,3.18,0.69,3.46,3.56,0.9,760000
121,Michael Soroka,WSN,Pitcher,3,7,0,13,67.1,9.89,2.54,1.34,5.35,4.11,0.9,9000000
122,Luis L. Ortiz,CLE,Pitcher,4,9,0,16,88.2,9.74,4.26,1.22,4.36,4.13,0.9,782600
123,Kyle Hendricks,LAA,Pitcher,5,6,0,18,96,6.09,2.25,1.5,4.88,4.77,0.9,2500000
124,Devin Williams,NYY,Pitcher,3,3,13,39,35.1,11.72,3.57,0.25,4.58,2.37,0.9,8600000
125,Eric Lauer,TOR,Pitcher,4,2,0,14,55,9.49,2.62,0.98,2.78,3.37,0.9,2200000
126,Fernando Cruz,NYY,Pitcher,2,3,2,32,33,14.73,3.82,0.82,3,2.45,0.8,785000
127,Mitchell Parker,WSN,Pitcher,5,10,0,19,102,5.82,3.53,1.15,5.12,4.71,0.8,767200
128,Abner Uribe,MIL,Pitcher,2,1,1,46,46.1,11.65,3.3,0.78,2.33,2.97,0.8,762200
129,Matt Strahm,PHI,Pitcher,1,3,6,41,38.1,10.33,2.82,0.94,3.29,3.08,0.8,7500000
130,Simeon Woods Richardson,MIN,Pitcher,5,4,0,15,73,7.64,3.45,1.23,3.95,4.4,0.8,768250
131,Tanner Bibee,CLE,Pitcher,5,9,0,19,109,7.84,2.72,1.4,4.29,4.47,0.8,3400000
132,José Alvarado,PHI,Pitcher,4,1,7,20,20,11.25,1.8,0.45,2.7,1.83,0.8,9016667
133,Gabe Speier,SEA,Pitcher,2,1,0,42,36.2,12.52,2.21,0.98,2.7,2.62,0.8,845000
134,Grant Holmes,ATL,Pitcher,4,8,0,20,105,10.2,4.29,1.29,3.77,4.24,0.8,770000
135,Tyler Alexander,2 Tms,Pitcher,4,9,1,30,60.2,6.97,2.82,0.59,4.75,3.38,0.8,760000
136,Cade Povich,BAL,Pitcher,2,5,0,13,64.2,9.46,3.2,1.39,5.15,4.1,0.8,766100
137,Cal Quantrill,MIA,Pitcher,3,8,0,18,81.2,7.38,2.64,1.32,5.62,4.38,0.8,3500000
138,Daniel Palencia,CHC,Pitcher,0,2,12,33,34.1,10.22,2.88,0.52,1.57,2.62,0.8,760000
139,Michael Lorenzen,KCR,Pitcher,5,8,0,18,99.2,7.68,2.62,1.54,4.61,4.53,0.8,5500000
140,Jack Leiter,TEX,Pitcher,5,6,0,16,80.1,7.73,4.26,1.12,4.37,4.48,0.8,762500
141,Davis Martin,CHW,Pitcher,2,7,0,14,80.2,5.91,2.12,1.34,3.79,4.56,0.8,765450
142,Grant Taylor,CHW,Pitcher,0,1,3,13,16.1,10.47,2.2,0,4.41,1.49,0.8,760000
143,Logan Allen,CLE,Pitcher,6,7,0,18,90,7,3.8,1.1,4,4.45,0.8,777200
144,Tyler Rogers,SFG,Pitcher,4,2,0,48,46.1,6.6,0.78,0.58,1.55,2.72,0.7,5250000
145,Graham Ashcraft,CIN,Pitcher,5,4,0,34,39.2,9.3,3.86,0.45,3.63,2.96,0.7,780000
146,Brock Stewart,MIN,Pitcher,1,1,0,34,29.1,11.66,3.07,0.61,2.45,2.6,0.7,870000
147,Caleb Ferguson,PIT,Pitcher,2,1,0,41,40,6.98,3.15,0,2.7,2.96,0.7,3000000
148,Mark Leiter Jr.,NYY,Pitcher,4,6,2,41,34.1,12.06,3.15,0.79,4.46,2.76,0.7,2050000
149,Carlos Estévez,KCR,Pitcher,4,2,25,41,42,7.5,3.21,0.64,2.36,3.63,0.7,10100000
150,Braydon Fisher,TOR,Pitcher,3,0,0,27,28.1,11.44,2.22,0.64,2.22,2.41,0.7,760000
151,George Kirby,SEA,Pitcher,4,4,0,10,54,9.33,2,1.33,4.5,3.77,0.7,4300000
152,Lucas Erceg,KCR,Pitcher,4,2,1,38,37.2,7.41,2.39,0.48,2.15,3.16,0.7,776750
153,Jose A. Ferrer,WSN,Pitcher,2,3,0,46,48.1,7.26,1.86,0.56,5.03,3.21,0.7,740000
154,Tanner Banks,PHI,Pitcher,2,1,1,40,41,9,1.1,1.1,3.29,3.03,0.7,785500
155,Justin Wilson,BOS,Pitcher,2,1,0,37,29,10.55,4.34,0.31,2.48,2.74,0.7,2250000
156,Reed Garrett,NYM,Pitcher,2,4,3,39,37.2,9.8,4.78,0.48,2.87,3.19,0.7,950000
157,Chris Martin,TEX,Pitcher,0,5,2,37,32.2,9.37,1.38,1.1,2.2,3.05,0.7,5500000
158,Miles Mikolas,STL,Pitcher,5,6,0,18,93,6.39,2.03,1.45,4.94,4.5,0.7,17666667
159,Corbin Burnes,ARI,Pitcher,3,2,0,11,64.1,8.81,3.64,0.98,2.66,3.89,0.7,30833333
160,Eduardo Rodriguez,ARI,Pitcher,3,6,0,16,80.1,10.08,3.25,1.79,5.94,4.55,0.7,20000000
161,Justin Verlander,SFG,Pitcher,0,7,0,15,76.2,7.87,3.05,1.17,4.7,4.16,0.7,15000000
162,Clayton Kershaw,LAD,Pitcher,4,1,0,10,50.2,6.22,2.66,1.07,3.38,4.19,0.7,7500000
163,Ryne Nelson,ARI,Pitcher,5,2,1,20,78.1,7.47,2.87,0.92,3.68,3.82,0.7,825000
164,Stephen Kolek,SDP,Pitcher,3,4,0,12,68,6.49,2.91,0.93,4.24,4.21,0.7,740000
165,Jordan Hicks,2 Tms,Pitcher,1,5,1,17,52.1,7.91,3.78,0.52,6.36,3.56,0.7,12500000
166,Tyler Anderson,LAA,Pitcher,2,6,0,19,101.2,7.26,3.45,1.5,4.34,4.88,0.7,13000000
167,Manuel Rodríguez,TBR,Pitcher,1,2,0,31,30.1,7.42,1.78,0.59,2.08,2.98,0.7,769400
168,Jeffrey Springs,ATH,Pitcher,8,6,0,20,110,7.04,3.11,1.55,3.93,4.83,0.7,10500000
169,Logan Henderson,MIL,Pitcher,3,0,0,4,21,12.43,2.57,1.29,1.71,3.03,0.6,740000
170,Jose Quintana,MIL,Pitcher,6,3,0,13,71.1,6.06,3.91,0.88,3.28,4.36,0.6,2000000
171,JP Sears,ATH,Pitcher,7,7,0,19,97.2,7.28,2.21,1.75,4.79,4.88,0.6,770000
172,Jacob Lopez,ATH,Pitcher,3,5,0,14,55.2,11.16,3.4,1.46,4.2,4.27,0.6,760000
173,Félix Bautista,BAL,Pitcher,1,1,18,34,33.2,12.83,5.35,0.8,2.41,3.17,0.6,1000000
174,Taijuan Walker,PHI,Pitcher,3,5,1,20,58.1,7.56,3.7,1.08,3.55,4.3,0.6,18000000
175,Alex Vesia,LAD,Pitcher,2,0,2,45,38.2,12.8,2.33,1.63,2.56,3.6,0.6,2250000
176,Reid Detmers,LAA,Pitcher,3,2,2,40,43.1,10.8,3.95,0.83,4.15,3.27,0.6,1825000
177,Dustin May,LAD,Pitcher,5,6,0,17,94.1,8.4,3.82,1.43,4.96,4.78,0.6,2135000
178,Jacob Latz,TEX,Pitcher,1,0,1,21,48,9,3.94,0.75,3,3.48,0.6,760000
179,Charlie Morton,BAL,Pitcher,5,7,0,20,83.1,9.5,4.1,1.19,5.18,4.34,0.6,15000000
180,Caleb Thielbar,CHC,Pitcher,2,2,1,39,34.1,8.13,2.88,0.52,2.36,2.99,0.6,2750000
181,Ronel Blanco,HOU,Pitcher,3,4,0,9,48.1,8.94,3.72,1.3,4.1,4.22,0.6,802700
