Unnamed: 0,Name,Team,Type,W,L,SV,G,IP,K/9,BB/9,HR/9,ERA,FIP,WAR,Salary (Per Season)
367,Kyle Harrison,SFG,Pitcher,1,1,0,8,23.2,9.51,3.42,1.52,4.56,4.31,0.1,740000
368,Ian Seymour,TBR,Pitcher,1,0,0,2,4,6.75,4.5,0,0,3.08,0.1,760000
369,Connor Seabold,TBR,Pitcher,0,0,0,3,6.2,6.75,4.05,0,1.35,2.93,0.1,740000
370,Jeff Hoffman,TOR,Pitcher,6,2,22,41,39.1,12.13,2.52,2.06,5.03,4.28,0.1,7666666
371,Juan Morillo,ARI,Pitcher,0,2,0,31,27.1,9.22,5.27,0.66,4.94,3.85,0.1,740000
372,Easton McGee,MIL,Pitcher,0,0,0,5,7,9,3.86,0,2.57,2.37,0.1,740000
373,Robert Stephenson,LAA,Pitcher,0,0,0,2,1,18,0,0,0,-0.92,0.1,11000000
374,Connor Brogdon,LAA,Pitcher,1,1,0,24,25.1,7.46,3.2,1.42,4.97,4.54,0.1,760000
375,Kyle Backhus,ARI,Pitcher,0,1,0,11,10,9,2.7,0.9,2.7,3.58,0.1,760000
376,Will Klein,LAD,Pitcher,1,1,0,6,7.1,13.5,6.14,0,3.68,2.95,0.1,760000
377,Dedniel Núñez,NYM,Pitcher,0,0,0,10,9.2,10.24,5.59,0.93,4.66,4.01,0.1,740000
378,Héctor Neris,3 Tms,Pitcher,3,1,0,26,18,12,4.5,1.5,6.5,4.25,0.1,760000
379,Tim Mayza,PIT,Pitcher,0,0,0,7,9.1,7.71,0.96,0.96,2.89,3.4,0.1,1150000
380,Jack Perkins,ATH,Pitcher,0,0,2,4,9.2,10.24,2.79,0.93,3.72,3.39,0.1,760000
381,Nick Burdi,BOS,Pitcher,0,0,0,4,5.1,8.44,3.38,0,0,2.33,0.1,850000
382,Blake Treinen,LAD,Pitcher,0,2,2,7,7,10.29,3.86,1.29,3.86,3.94,0.1,8500000
383,Austin Gomber,COL,Pitcher,0,3,0,6,28.2,4.4,2.2,1.88,5.65,5.56,0.1,6350000
384,Andrew Chafin,WSN,Pitcher,0,0,0,21,16,8.44,6.19,0.56,2.81,4.08,0.1,1000000
385,Spencer Arrighetti,HOU,Pitcher,1,1,0,2,9.2,7.45,4.66,0.93,5.59,4.63,0.1,794200
386,Keegan Akin,BAL,Pitcher,3,0,0,39,38,9,4.26,1.18,3.32,4.29,0.1,1475000
387,Owen White,CHW,Pitcher,0,0,0,2,6.2,8.1,4.05,0,4.05,2.63,0.1,740000
388,Riley O'Brien,STL,Pitcher,0,0,0,17,22.1,9.27,4.03,0.81,2.01,3.8,0.1,760000
389,Colin Selby,BAL,Pitcher,0,0,0,5,6.2,13.5,1.35,1.35,4.05,2.48,0.1,760000
390,Yu Darvish,SDP,Pitcher,0,1,0,2,8.1,7.56,6.48,0,6.48,4.28,0.1,21000000
391,Yohan Ramírez,PIT,Pitcher,0,0,0,1,2,18,0,0,0,-0.92,0.1,760000
392,Justin Hagenman,NYM,Pitcher,0,1,0,4,12.1,9.49,0.73,2.19,5.11,4.38,0.1,740000
393,Grant Wolfram,BAL,Pitcher,1,0,0,4,5,10.8,5.4,0,3.6,2.48,0.1,740000
394,Zak Kent,CLE,Pitcher,0,0,0,4,7.1,9.82,6.14,0,6.14,2.95,0.1,740000
395,Victor Vodnik,COL,Pitcher,3,3,2,29,27.1,9.55,5.6,0.99,2.96,4.25,0.1,765000
396,Patrick Monteverde,MIA,Pitcher,0,0,0,1,3.2,9.82,2.45,0,9.82,1.72,0.1,740000
397,Chris Roycroft,STL,Pitcher,1,3,0,14,13,6.23,6.23,0,6.92,3.77,0.1,740000
398,Luke Weaver,NYY,Pitcher,1,3,8,33,34,9.53,2.38,1.59,2.91,4.14,0.1,2500000
399,Juan Burgos,SEA,Pitcher,0,0,0,3,4.2,11.57,3.86,0,1.93,2.44,0.1,760000
400,Sawyer Gipson-Long,DET,Pitcher,0,1,0,5,23,7.04,1.57,1.57,4.7,4.43,0.1,763600
401,Jaden Hill,COL,Pitcher,0,0,0,3,2.2,16.88,6.75,0,3.38,1.58,0.1,740000
402,Ryan Burr,TOR,Pitcher,1,0,0,2,2,13.5,4.5,0,0,1.58,0.1,786000
403,Bailey Horn,DET,Pitcher,0,0,0,3,2.2,10.13,3.38,0,3.38,1.96,0.1,740000
404,Justin Martinez,ARI,Pitcher,1,2,5,17,15.1,12.91,7.04,0.59,4.11,4,0.1,1900000
405,Anthony Bender,MIA,Pitcher,2,5,2,40,39.1,6.86,3.89,0.69,2.06,4,0.1,1420000
406,Blake Snell,LAD,Pitcher,1,0,0,2,9,4,8,0,2,4.86,0.1,28436867
407,Tanner Rainey,PIT,Pitcher,0,1,0,11,7.2,10.57,7.04,0,10.57,3.47,0.1,740000
408,Tom Cosgrove,CHC,Pitcher,0,0,0,2,4,6.75,2.25,0,2.25,2.33,0.1,740000
409,Cole Winn,TEX,Pitcher,0,1,0,13,17,5.82,4.24,0.53,1.59,3.96,0.1,740000
410,Matt Krook,ATH,Pitcher,0,0,0,3,3.1,8.1,2.7,0,5.4,2.18,0.1,740000
411,Zach Thompson,ATL,Pitcher,0,0,0,2,3.2,7.36,2.45,0,0,2.26,0.1,772200
412,Tyler Matzek,NYY,Pitcher,0,0,0,7,6.1,9.95,7.11,0,4.26,3.24,0.1,740000
413,Matt Gage,DET,Pitcher,0,0,0,6,5.2,4.76,3.18,0,0,3.08,0.1,760000
414,Tyler Zuber,NYM,Pitcher,0,0,0,1,2,13.5,0,0,9,0.08,0.1,740000
415,Sauryn Lao,SEA,Pitcher,0,0,0,1,1.2,16.2,0,0,0,-0.52,0,740000
416,Seth Johnson,PHI,Pitcher,0,0,0,3,5,5.4,1.8,0,1.8,2.48,0,760000
417,Andrew Saalfrank,ARI,Pitcher,0,0,0,1,2,9,0,0,0,1.08,0,760000
418,Erik Miller,SFG,Pitcher,4,1,0,36,30,6.6,6,0,1.5,3.92,0,780000
419,Kade Strowd,BAL,Pitcher,0,0,0,3,4.1,6.23,2.08,0,4.15,2.39,0,740000
420,Cristian Mena,ARI,Pitcher,1,0,0,3,6.2,10.8,4.05,1.35,1.35,3.98,0,760000
421,Ezequiel Duran,TEX,Pitcher,0,0,0,3,3,0,0,0,0,3.08,0,740000
422,Jordan Leasure,CHW,Pitcher,2,5,2,38,34,10.59,5.56,1.59,4.5,4.96,0,765800
423,Yaramil Hiraldo,BAL,Pitcher,0,0,0,1,1.1,6.75,0,0,0,1.58,0,740000
424,Corbin Martin,BAL,Pitcher,0,0,0,1,1.1,13.5,0,0,0,0.08,0,760000
425,Jake Woodford,ARI,Pitcher,0,0,0,3,6,3,4.5,0,3,3.92,0,760000
426,Dietrich Enns,DET,Pitcher,1,1,0,4,13.1,6.75,2.7,1.35,4.73,4.43,0,760000
427,Hunter Strickland,LAA,Pitcher,1,2,1,19,22,5.73,4.09,0.82,3.27,4.35,0,1000000
428,Nick Sandlin,TOR,Pitcher,0,2,1,19,16.1,8.82,4.41,1.1,2.2,4.55,0,1630000
429,Greg Weissert,BOS,Pitcher,2,3,3,45,41.1,7.4,3.27,1.09,3.27,4.24,0,774000
430,Omar Cruz,SDP,Pitcher,0,0,0,2,3.2,12.27,7.36,0,4.91,2.81,0,740000
431,Raisel Iglesias,ATL,Pitcher,4,5,11,39,36.2,10.31,1.72,1.72,4.42,4.01,0,16000000
432,Touki Toussaint,LAA,Pitcher,0,0,0,1,2,13.5,4.5,0,9,1.58,0,740000
433,Jorge Alcala,2 Tms,Pitcher,0,2,0,33,34.2,9.87,4.67,1.3,6.49,4.41,0,1500000
434,Weston Wilson,PHI,Pitcher,0,0,0,2,3,0,0,0,0,3.08,0,740000
435,Huascar Brazobán,NYM,Pitcher,5,2,2,39,47.1,8.94,4.56,0.95,3.99,4.24,0,778000
436,Josh Simpson,MIA,Pitcher,1,0,0,8,9.2,11.17,5.59,0.93,3.72,3.81,0,760000
437,Andry Lara,WSN,Pitcher,0,0,0,2,3.2,12.27,4.91,0,2.45,2.81,0,740000
438,Zac Gallen,ARI,Pitcher,7,10,0,20,115,8.61,3.52,1.64,5.4,4.8,0,13500000
439,Cody Bolton,CLE,Pitcher,0,0,0,1,2,4.5,0,0,13.5,2.08,0,740000
440,Travis Adams,MIN,Pitcher,1,0,0,2,8,4.5,1.13,1.13,6.75,4.08,0,760000
441,Jack Little,LAD,Pitcher,0,0,0,2,3,6,3,0,6,3.75,0,740000
442,Jacob Stallings,COL,Pitcher,0,0,0,1,2,4.5,0,0,4.5,2.08,0,740000
443,Joey Wentz,3 Tms,Pitcher,2,1,0,26,37,8.27,5.11,1.22,6.32,4.78,0,775000
444,Tommy Nance,TOR,Pitcher,0,0,0,2,2,9,4.5,0,0,2.58,0,760000
445,Casey Lawrence,2 Tms,Pitcher,1,2,0,6,17.2,3.57,0.51,1.02,4.08,4.1,0,740000
446,Gerson Garabito,TEX,Pitcher,0,0,0,3,8,9,1.13,1.13,9,3.83,0,740000
447,Sean Reynolds,SDP,Pitcher,0,1,0,17,22.2,8.74,3.18,1.19,3.97,4.18,0,740000
448,Jordan Weems,HOU,Pitcher,0,1,0,2,3,0,0,0,6,3.08,0,740000
449,Jose Trevino,CIN,Pitcher,0,0,0,2,2.1,3.86,3.86,0,3.86,3.51,0,740000
450,Bryce Jarvis,ARI,Pitcher,0,0,1,8,14.1,8.16,4.4,0.63,4.4,3.85,0,740000
451,Mike Vasil,CHW,Pitcher,4,3,2,25,62,6.39,4.79,0.73,2.47,4.69,0,760000
452,Daniel Robert,PHI,Pitcher,0,0,0,6,4,18,13.5,0,2.25,3.58,0,760000
453,Jhonathan Díaz,SEA,Pitcher,0,0,0,1,1.1,6.75,0,0,0,1.58,0,740000
454,Christian Montes De Oca,ARI,Pitcher,0,0,0,1,2.2,6.75,3.38,0,0,2.71,0,760000
455,Nathan Wiles,ATL,Pitcher,0,0,0,1,1,9,0,0,27,1.08,0,740000
456,Noah Murdock,ATH,Pitcher,1,1,0,14,17,11.12,10.59,0,13.24,4.49,0,740000
457,Michael Stefanic,TOR,Pitcher,0,0,0,1,1,0,0,0,0,3.08,0,740000
458,Jake Eder,LAA,Pitcher,0,0,0,6,9.1,7.71,4.82,0.96,1.93,4.37,0,760000
459,Jose Herrera,ARI,Pitcher,0,0,0,1,1,0,0,0,0,3.08,0,740000
460,Wikelman González,CHW,Pitcher,0,0,0,2,4,11.25,9,0,4.5,3.58,0,740000
461,Kevin Ginkel,ARI,Pitcher,1,3,2,25,22,10.23,4.91,0.82,8.18,3.9,0,2425000
462,Jackson Kowar,SEA,Pitcher,1,0,0,7,8.2,8.31,3.12,1.04,2.08,4.12,0,740000
463,Yosver Zulueta,CIN,Pitcher,0,0,0,2,2.1,3.86,3.86,0,3.86,3.51,0,740000
464,Freddy Tarnok,MIA,Pitcher,1,0,1,2,2,4.5,0,0,0,3.58,0,740000
465,Carlos Hernández,2 Tms,Pitcher,1,0,0,33,34,8.74,5.03,1.06,6.35,4.52,0,1160000
466,Willie MacIver,ATH,Pitcher,0,0,0,2,2,0,0,0,0,3.08,0,740000
467,Bradgley Rodriguez,SDP,Pitcher,0,0,0,1,1.2,5.4,5.4,0,0,5.48,0,740000
468,Rob Zastryzny,MIL,Pitcher,2,1,0,15,13.1,10.13,1.35,2.03,2.03,4.21,0,760000
469,Jake Palisch,CHW,Pitcher,0,0,0,1,1,0,0,0,18,3.08,0,740000
470,Alan Trejo,COL,Pitcher,0,0,0,1,1,0,0,0,0,3.08,0,740000
471,Jacob Amaya,CHW,Pitcher,0,0,0,1,1,0,0,0,0,3.08,0,740000
472,Trevor Richards,KCR,Pitcher,0,0,0,3,3,6,6,0,12,3.75,0,850000
473,Nate Eaton,BOS,Pitcher,0,0,0,1,1,0,0,0,0,3.08,0,740000
474,Willi Castro,MIN,Pitcher,0,0,0,1,1,0,0,0,0,3.08,0,740000
475,Garrett Hampson,STL,Pitcher,0,0,0,1,1,0,0,0,0,3.08,0,740000
476,Christian Koss,SFG,Pitcher,0,0,0,1,1,0,0,0,0,3.08,0,740000
477,Mason Thompson,WSN,Pitcher,0,0,0,4,3,9,9,0,15,4.08,0,770000
478,Tomás Nido,DET,Pitcher,0,0,0,1,1.2,0,0,0,0,4.88,0,740000
479,Jordan Romano,PHI,Pitcher,1,4,8,37,33.1,9.99,3.78,1.62,7.29,4.64,0,8500000
480,Dylan Dodd,ATL,Pitcher,0,0,0,11,12,6.75,1.5,1.5,3.75,4.25,0,740000
481,Shinnosuke Ogasawara,WSN,Pitcher,0,1,0,2,6.2,5.4,1.35,1.35,9.45,5.18,0,1500000
482,Justin Garza,NYM,Pitcher,0,0,0,5,6.2,4.05,1.35,1.35,5.4,4.58,0,740000
483,Doug Nikhazy,CLE,Pitcher,0,1,0,2,4,11.25,13.5,0,13.5,5.08,0,740000
484,Jacob Barnes,TOR,Pitcher,0,1,0,6,8,5.63,3.38,1.13,9,4.58,0,740000
485,Luis Vázquez,BAL,Pitcher,0,0,0,3,3.1,0,2.7,0,0,3.98,0,740000
486,César Salazar,HOU,Pitcher,0,0,0,1,1,0,0,0,0,6.08,0,740000
487,Austin Hedges,CLE,Pitcher,0,0,0,1,1,9,9,0,9,4.08,0,740000
488,Craig Kimbrel,ATL,Pitcher,0,0,0,1,1,9,9,0,0,4.08,0,740000
489,Jackson Jobe,DET,Pitcher,4,1,0,10,49,7.16,4.96,1.29,4.22,5.12,0,760900
490,Luis F. Castillo,SEA,Pitcher,0,0,0,2,7,6.43,9,0,7.71,4.65,0,24150000
491,Tucker Barnhart,TEX,Pitcher,0,0,0,1,2,0,0,0,13.5,4.58,0,740000
492,Carson Spiers,CIN,Pitcher,0,2,0,3,13.1,7.43,4.73,2.03,6.08,6.16,0,765000
493,Kevin Herget,2 Tms,Pitcher,0,0,0,2,3,3,6,0,3,4.42,0,740000
494,Lou Trivino,2 Tms,Pitcher,3,0,0,34,36.2,6.63,2.7,1.23,3.93,4.69,0,760000
495,Ryan Borucki,PIT,Pitcher,1,3,0,29,25.2,7.71,3.86,1.05,5.26,4.29,0,1150000
496,Jake Rogers,DET,Pitcher,0,0,0,2,1.2,0,0,0,5.4,4.88,0,740000
497,Ryan Thompson,ARI,Pitcher,2,2,1,36,32.1,8.35,3.34,1.11,4.45,4.04,0,2965000
498,Alan Rangel,PHI,Pitcher,0,0,1,2,8,5.63,3.38,1.13,2.25,4.58,0,740000
499,Grant Holman,ATH,Pitcher,4,2,0,22,23,6.65,3.52,1.17,5.09,4.6,0,760000
500,Cody Poteet,BAL,Pitcher,0,0,0,1,2.2,3.38,6.75,0,16.88,4.58,0,760000
501,Abraham Toro,BOS,Pitcher,0,0,0,1,1,0,9,0,18,6.08,0,740000
502,Tyler Heineman,TOR,Pitcher,0,0,0,1,1,0,0,0,9,6.08,0,740000
503,Tyler Wade,SDP,Pitcher,0,0,0,1,1,0,9,0,9,6.08,0,740000
504,Alec Burleson,STL,Pitcher,0,0,0,1,1,0,0,0,0,6.08,0,740000
505,A.J. Puk,ARI,Pitcher,0,0,4,8,8,13.5,2.25,2.25,3.38,4.46,0,2950000
506,Leo Rivas,SEA,Pitcher,0,0,0,1,1,0,9,0,0,6.08,0,740000
507,Jake Bauers,MIL,Pitcher,0,0,0,5,5,1.8,5.4,0,3.6,5.68,0,740000
508,Michael Darrell-Hicks,2 Tms,Pitcher,1,0,0,7,9.2,7.45,3.72,0.93,7.45,4.32,0,740000
509,Dylan Smith,DET,Pitcher,1,0,0,7,13,2.77,3.46,0,1.38,4.31,0,740000
510,Brooks Kriske,CHC,Pitcher,0,0,0,1,2,4.5,9,0,0,5.08,0,900000
511,Michael Fulmer,2 Tms,Pitcher,0,0,0,3,5.2,4.76,3.18,1.59,4.76,5.38,0,740000
512,Victor Mederos,LAA,Pitcher,0,0,0,2,4,9,9,0,4.5,4.83,0,740000
513,Bryan Hudson,MIL,Pitcher,0,1,0,12,10.1,11.32,10.45,0,4.35,4.63,0,740000
514,Tyler Kinley,COL,Pitcher,0,3,3,44,42.1,8.72,5.53,1.06,6.38,4.66,0,4000000
515,Gavin Hollowell,CHC,Pitcher,0,0,0,5,6.1,7.11,2.84,1.42,1.42,4.5,0,740000
516,Michael Petersen,ATL,Pitcher,0,0,0,4,6.2,6.75,2.7,1.35,4.05,4.43,0,740000
517,Randy Wynne,CIN,Pitcher,0,0,1,1,3,9,3,3,3,6.42,0,740000
518,Luis Guerrero,BOS,Pitcher,0,1,0,13,17.1,5.19,7.27,0,4.15,4.35,0,760000
519,Aaron Civale,2 Tms,Pitcher,1,6,0,11,52.2,6.15,3.76,1.71,5.3,5.55,0,8000000
520,Sam Moll,CIN,Pitcher,1,0,0,7,6,9,4.5,1.5,6,4.75,0,1007500
521,Carson Fulmer,LAA,Pitcher,0,0,0,1,5.1,8.44,5.06,1.69,5.06,5.33,0,760000
522,Marc Church,TEX,Pitcher,0,0,0,5,4.2,9.64,11.57,0,3.86,4.8,0,740000
523,Tyler Owens,DET,Pitcher,0,0,0,3,3,3,9,0,3,5.42,0,740000
524,Travis Jankowski,NYM,Pitcher,0,0,0,1,1,0,9,0,18,9.08,0,740000
525,Miles Mastrobuoni,SEA,Pitcher,0,0,0,1,1,0,18,0,0,9.08,0,740000
526,Mike Yastrzemski,SFG,Pitcher,0,0,0,1,1,0,9,0,18,9.08,0,740000
527,JT Brubaker,NYY,Pitcher,0,0,0,7,7,3.86,6.43,0,6.43,4.8,0,1820000
528,Adam Ottavino,NYY,Pitcher,0,0,0,3,1.2,16.2,21.6,0,0,6.68,0,740000
529,Andrew Hoffmann,KCR,Pitcher,0,0,0,1,2,18,0,4.5,9,5.58,0,760000
530,Joe Rock,TBR,Pitcher,0,0,0,1,2,18,0,4.5,9,7.08,0,740000
531,Yilber Díaz,ARI,Pitcher,0,0,0,1,3,3,9,0,9,5.42,0,740000
532,Brett de Geus,PHI,Pitcher,0,0,0,1,2,0,13.5,0,4.5,7.58,0,740000
533,Angel Perdomo,ATH,Pitcher,0,0,0,4,3.1,5.4,8.1,0,5.4,5.48,0,740000
534,Ty Adcock,NYM,Pitcher,0,0,0,3,3,15,6,3,3,6.08,0,740000
535,Richard Fitts,BOS,Pitcher,1,3,0,8,33.2,7.49,2.67,1.87,4.28,5.19,0,766000
536,Luke Williams,ATL,Pitcher,0,0,0,3,3,6,0,3,6,6.08,0,740000
537,Julian Merryweather,CHC,Pitcher,0,1,0,20,17.2,7.64,4.58,1.02,6.11,4.38,0,740000
538,Liam Hendriks,BOS,Pitcher,0,2,0,14,13.2,7.9,4.61,1.32,6.59,4.98,0,6000000
539,Brent Headrick,NYY,Pitcher,0,0,0,11,13.1,10.8,2.03,2.03,4.73,4.51,0,740000
540,Adam Mazur,MIA,Pitcher,0,1,0,1,5.2,7.94,6.35,1.59,6.35,5.73,0,740000
541,Vinny Capra,CHW,Pitcher,0,0,0,3,3,3,0,3,6,6.75,0,740000
542,Jon Berti,CHC,Pitcher,0,0,0,2,1.2,0,16.2,0,10.8,8.48,0,740000
543,Mason Montgomery,TBR,Pitcher,1,2,1,40,31.1,11.78,5.46,1.44,5.74,4.45,0,740000
544,Alex Carrillo,NYM,Pitcher,0,0,0,2,3.1,5.4,0,2.7,5.4,5.78,0,760000
545,Anthony Misiewicz,MIN,Pitcher,0,0,0,2,3.1,10.8,5.4,2.7,8.1,6.38,0,760000
546,Luarbert Arias,MIA,Pitcher,0,0,0,6,9.1,8.68,4.82,0.96,10.61,4.8,0,740000
547,Matt Bowman,BAL,Pitcher,0,1,0,19,23.1,6.56,2.31,1.54,5.79,4.88,0,740000
548,Jeff Brigham,ARI,Pitcher,0,0,0,4,3.1,8.1,2.7,2.7,8.1,6.08,0,740000
549,Joel Payamps,MIL,Pitcher,0,1,1,23,18.1,7.85,2.95,1.47,8.35,4.45,-0.1,740000
550,Cam Schlittler,NYY,Pitcher,1,0,0,1,5.1,11.81,3.38,3.38,5.06,6.46,-0.1,760000
551,Dane Dunning,TEX,Pitcher,0,0,2,5,10.2,8.44,4.22,1.69,3.38,5.33,-0.1,2660000
552,Tim Hill,NYY,Pitcher,3,2,0,45,43.1,4.78,2.28,1.04,2.49,4.28,-0.1,2500000
553,Jhonny Pereda,ATH,Pitcher,0,0,0,3,3,9,6,3,21,7.42,-0.1,740000
554,Carlos Rodriguez,MIL,Pitcher,1,0,0,1,3.1,5.4,10.8,0,8.1,5.48,-0.1,740000
555,Brock Burke,LAA,Pitcher,4,1,0,44,37,7.54,3.65,1.22,3.65,4.54,-0.1,1150000
556,Caleb Freeman,CHW,Pitcher,0,0,0,5,3.1,8.1,2.7,2.7,5.4,6.08,-0.1,740000
557,Austin Warren,NYM,Pitcher,1,0,0,4,5.1,6.75,5.06,1.69,1.69,5.71,-0.1,785000
558,Will Wilson,CLE,Pitcher,0,0,0,1,2,0,0,4.5,9,9.58,-0.1,740000
559,Codi Heuer,TEX,Pitcher,0,0,0,1,1.1,6.75,0,6.75,6.75,11.33,-0.1,740000
560,Julian Fernández,LAD,Pitcher,0,0,0,1,2,4.5,4.5,4.5,9,10.08,-0.1,740000
561,Pablo Reyes,NYY,Pitcher,0,0,0,1,1,0,0,9,27,16.08,-0.1,740000
562,Randy Dobnak,MIN,Pitcher,0,0,0,1,5.1,1.69,3.38,1.69,1.69,6.27,-0.1,740000
563,Connor Gillispie,MIA,Pitcher,0,3,0,6,26,7.96,3.81,2.08,8.65,5.7,-0.1,740000
564,Justin Bruihl,TOR,Pitcher,0,0,0,6,4.2,13.5,5.79,1.93,3.86,5.44,-0.1,760000
565,Luis Mey,CIN,Pitcher,1,0,0,15,14.1,9.42,6.28,1.26,4.4,5.11,-0.1,740000
566,Logan Porter,SFG,Pitcher,0,0,0,1,1,0,0,9,9,16.08,-0.1,740000
567,Eduard Bazardo,SEA,Pitcher,3,0,0,42,48.2,8.32,4.07,1.11,2.96,4.25,-0.1,892700
