Unnamed: 0,Name,Team,Type,W,L,SV,G,IP,K/9,BB/9,HR/9,ERA,FIP,WAR,Salary (Per Season)
568,Andrew Walters,CLE,Pitcher,0,0,0,2,1.1,13.5,0,6.75,13.5,9.83,-0.1,760000
569,Michael Kelly,ATH,Pitcher,2,0,0,13,13,5.54,5.54,0.69,1.38,4.7,-0.1,760000
570,T.J. McFarland,ATH,Pitcher,0,0,0,27,15.2,4.02,1.72,1.15,6.89,4.61,-0.1,740000
571,Mason Black,SFG,Pitcher,0,0,0,1,4,11.25,0,4.5,6.75,7.08,-0.1,740000
572,Easton Lucas,TOR,Pitcher,3,2,0,5,21.2,9.14,4.15,2.08,5.82,5.44,-0.1,740000
573,Carl Edwards Jr.,LAA,Pitcher,0,0,0,2,3,6,3,3,9,7.08,-0.1,740000
574,Nick Hernandez,HOU,Pitcher,0,0,0,2,2,9,9,4.5,9,10.58,-0.1,740000
575,Casey Legumina,SEA,Pitcher,4,4,0,34,35,9.77,4.63,1.29,5.14,4.4,-0.1,760000
576,Xzavion Curry,MIA,Pitcher,0,1,0,3,3,3,9,0,6,5.42,-0.1,740000
577,Chris Stratton,2 Tms,Pitcher,0,0,0,15,21,9.43,4.29,1.71,7.71,4.89,-0.1,740000
578,Matt Sauer,LAD,Pitcher,2,1,1,9,27.2,7.16,2.6,1.63,6.18,4.93,-0.1,740000
579,Isaiah Campbell,BOS,Pitcher,0,0,0,1,2,0,0,4.5,9,9.58,-0.1,740000
580,Spencer Turnbull,TOR,Pitcher,1,1,0,3,6.1,5.68,5.68,1.42,7.11,5.77,-0.1,740000
581,Mitch Spence,ATH,Pitcher,2,5,1,29,74.2,7.59,2.65,1.81,4.7,5.05,-0.1,740000
582,Antonio Senzatela,COL,Pitcher,3,13,0,19,91.1,4.83,3.25,1.58,6.6,5.5,-0.1,12000000
583,Robinson Piña,2 Tms,Pitcher,0,0,0,2,2.1,3.86,3.86,3.86,7.71,9.08,-0.1,760000
584,Allan Winans,NYY,Pitcher,0,1,0,2,6.1,4.26,2.84,1.42,8.53,6.08,-0.1,740000
585,Reynaldo López,ATL,Pitcher,0,0,0,1,5,1.8,3.6,1.8,5.4,6.48,-0.1,8000000
586,John Brebbia,DET,Pitcher,1,0,0,19,18.2,9.64,5.3,1.45,7.71,5.28,-0.1,740000
587,Max Lazar,PHI,Pitcher,0,0,1,15,20.1,6.2,3.54,1.33,3.54,4.8,-0.1,760000
588,Jonathan Bowlan,KCR,Pitcher,1,2,0,14,19,8.05,3.79,1.42,3.79,4.61,-0.1,760000
589,Geoff Hartlieb,NYY,Pitcher,0,0,0,2,1.1,27,27,6.75,40.5,15.83,-0.1,740000
590,Jonah Bride,MIN,Pitcher,0,0,0,4,6,3,4.5,1.5,15,7.08,-0.1,740000
591,Michael Mercado,PHI,Pitcher,0,0,0,3,3,12,12,3,15,8.75,-0.1,740000
592,Tayler Saucedo,SEA,Pitcher,0,0,0,5,4.2,7.71,5.79,1.93,7.71,6.08,-0.1,740000
593,Kody Funderburk,MIN,Pitcher,1,0,0,10,13,6.23,3.46,1.38,6.92,5.08,-0.1,740000
594,AJ Blubaugh,HOU,Pitcher,0,1,0,1,4,13.5,2.25,4.5,4.5,7.33,-0.1,740000
595,Amed Rosario,WSN,Pitcher,0,0,0,1,1,0,18,9,36,22.08,-0.1,740000
596,Gary Sánchez,BAL,Pitcher,0,0,0,1,1,0,9,9,36,22.08,-0.1,740000
597,Emmanuel Rivera,BAL,Pitcher,0,0,0,1,1,0,18,9,72,22.08,-0.1,740000
598,Carlos Carrasco,NYY,Pitcher,2,2,0,8,32,7.03,2.81,1.97,5.91,5.3,-0.1,740000
599,Logan Evans,SEA,Pitcher,3,3,0,9,50.1,6.26,2.68,1.61,3.75,5.03,-0.1,760000
600,Elvis Peguero,MIL,Pitcher,0,0,0,6,7.1,6.14,4.91,1.23,4.91,5.54,-0.1,740000
601,Anthony Molina,COL,Pitcher,0,0,0,5,8.2,6.23,0,3.12,7.27,6.2,-0.1,740000
602,Marcus Stroman,NYY,Pitcher,1,1,0,6,24.1,5.55,4.44,1.48,6.66,5.59,-0.1,18500000
603,Kevin Newman,LAA,Pitcher,0,0,0,2,4,0,0,4.5,6.75,9.58,-0.1,740000
604,Blas Castaño,SEA,Pitcher,0,0,0,1,3,3,6,3,9,9.75,-0.1,740000
605,Luis Contreras,HOU,Pitcher,0,0,0,7,9,10,6,2,9,5.75,-0.1,740000
606,Connor Phillips,CIN,Pitcher,1,0,0,4,5,7.2,7.2,1.8,7.2,6.48,-0.1,740000
607,Jack Kochanowicz,LAA,Pitcher,3,9,0,19,94,6.22,4.31,1.53,6.03,5.54,-0.1,740000
608,Scott McGough,ARI,Pitcher,0,0,0,7,7,6.43,7.71,1.29,6.43,6.51,-0.1,740000
609,Jorge Mateo,BAL,Pitcher,0,0,0,1,1,0,18,9,45,25.08,-0.1,740000
610,Kenta Maeda,DET,Pitcher,0,0,0,7,8,9,6.75,1.13,7.88,6.08,-0.1,740000
611,Eduarniel Núñez,SDP,Pitcher,0,0,0,4,4.2,3.86,7.71,1.93,3.86,8.22,-0.1,740000
612,Orlando Ribalta,WSN,Pitcher,0,0,0,4,7.2,7.04,4.7,2.35,5.87,6.47,-0.1,760300
613,Robert Stock,BOS,Pitcher,0,0,0,2,2.2,3.38,13.5,3.38,10.13,11.71,-0.1,740000
614,Mike Clevinger,CHW,Pitcher,0,2,0,8,5.2,4.76,12.71,0,7.94,6.26,-0.1,740000
615,Cooper Criswell,BOS,Pitcher,1,0,1,6,10.2,4.22,2.53,1.69,5.06,5.43,-0.1,740000
616,Dillon Tate,TOR,Pitcher,0,0,0,5,5.1,11.81,10.13,1.69,5.06,6.83,-0.1,740000
617,Taylor Clarke,KCR,Pitcher,1,1,1,23,25.2,5.61,1.05,1.75,4.91,4.72,-0.1,1000000
618,Yuki Matsui,SDP,Pitcher,2,1,1,39,35.2,9.59,4.54,1.51,5.05,4.65,-0.1,5500000
619,Bobby Miller,LAD,Pitcher,0,0,0,2,5,12.6,3.6,3.6,12.6,7.28,-0.1,740000
620,Ethan Roberts,CHC,Pitcher,1,0,0,9,8.1,6.48,2.16,2.16,5.4,5.84,-0.1,760000
621,Jason Alexander,2 Tms,Pitcher,1,0,1,6,15,6.6,6,1.8,8.4,6.42,-0.1,740000
622,Justin Sterner,ATH,Pitcher,2,3,0,34,34.1,9.17,3.93,1.57,3.67,4.98,-0.1,760000
623,Roddery Muñoz,STL,Pitcher,0,0,0,6,6.2,9.45,5.4,2.7,8.1,6.68,-0.1,740000
624,Triston McKenzie,CLE,Pitcher,0,0,0,4,5.2,6.35,11.12,1.59,11.12,7.67,-0.1,740000
625,José Caballero,TBR,Pitcher,0,0,0,1,1,0,9,18,54,32.08,-0.1,740000
626,Penn Murfee,CHW,Pitcher,0,1,0,15,12.2,9.24,3.55,2.13,7.82,5.53,-0.1,740000
627,Miguel Castro,CHW,Pitcher,0,0,0,6,6,6,7.5,1.5,7.5,6.92,-0.1,1500000
628,Kendall Graveman,ARI,Pitcher,1,0,0,11,10.1,3.48,6.1,0.87,7.84,5.89,-0.1,1250000
629,Javier Sanoja,MIA,Pitcher,0,0,0,4,5,0,3.6,3.6,19.8,9.48,-0.1,740000
630,Logan VanWey,HOU,Pitcher,0,0,0,7,8.2,5.19,3.12,2.08,6.23,6.31,-0.1,740000
631,Wade Miley,CIN,Pitcher,1,0,0,3,12,5.25,4.5,2.25,6.75,6.92,-0.1,2500000
632,Hunter Stratton,PIT,Pitcher,0,0,0,3,2.2,3.38,6.75,3.38,23.63,10.58,-0.1,740000
633,Drey Jameson,ARI,Pitcher,0,1,1,3,3,0,9,0,3,6.08,-0.1,740000
634,Ian Anderson,LAA,Pitcher,0,1,0,7,9.1,7.71,6.75,1.93,11.57,6.4,-0.1,740000
635,Enrique Hernández,LAD,Pitcher,0,0,0,5,5.1,1.69,13.5,1.69,15.19,9.64,-0.1,740000
636,Tyler Phillips,MIA,Pitcher,1,0,0,33,46.1,5.63,2.72,1.17,3.69,4.48,-0.1,764000
637,Matt Waldron,SDP,Pitcher,0,1,0,1,4.2,5.79,11.57,1.93,7.71,8.44,-0.1,740000
638,José Ureña,3 Tms,Pitcher,0,0,1,9,18.1,4.91,2.45,2.45,5.4,6.35,-0.2,740000
639,Brandon Waddell,NYM,Pitcher,0,0,0,9,23.1,6.17,2.31,1.54,3.86,4.71,-0.2,760000
640,Kevin Kelly,TBR,Pitcher,0,1,0,22,21.2,7.06,1.66,2.08,3.74,5.07,-0.2,776100
641,Ryan Johnson,LAA,Pitcher,1,1,1,14,14.2,9.82,3.07,2.45,7.36,5.47,-0.2,740000
642,Ben Joyce,LAA,Pitcher,1,0,0,5,4.1,2.08,2.08,2.08,6.23,6.31,-0.2,780000
643,Craig Yoho,MIL,Pitcher,0,0,0,6,7,6.43,9,1.29,9,6.94,-0.2,740000
644,Lance McCullers Jr.,HOU,Pitcher,2,4,0,10,41.2,10.58,5.62,1.94,6.48,5.77,-0.2,17700000
645,Caden Dana,LAA,Pitcher,0,0,0,2,6,9,7.5,3,7.5,7.92,-0.2,740000
646,Cole Henry,WSN,Pitcher,1,1,0,34,33,8.73,4.64,1.36,3.82,5.39,-0.2,760000
647,Forrest Whitley,2 Tms,Pitcher,0,0,0,10,12,9,6,2.25,13.5,6.58,-0.2,740000
648,Dan Altavilla,CHW,Pitcher,0,1,1,18,20.1,6.2,3.1,1.77,1.77,5.59,-0.2,760000
649,Nate Pearson,CHC,Pitcher,0,1,0,8,9.2,3.72,8.38,0.93,13.03,6.7,-0.2,740000
650,Tyler Ferguson,ATH,Pitcher,2,2,1,36,35,8.49,5.66,1.03,6.69,4.82,-0.2,740000
651,Tommy Henry,ARI,Pitcher,0,0,0,2,6.2,10.8,1.35,4.05,4.05,7.43,-0.2,760000
652,Logan Gillaspie,SDP,Pitcher,0,0,0,3,7,5.14,5.14,1.29,2.57,5.94,-0.2,740000
653,Tony Gonsolin,LAD,Pitcher,3,2,0,7,36,9.5,4.5,2.25,5,5.97,-0.2,5400000
654,Troy Taylor,SEA,Pitcher,0,0,0,8,6.2,2.7,4.05,2.7,12.15,8.18,-0.2,740000
655,Sam Aldegheri,LAA,Pitcher,0,0,0,2,4.1,8.31,10.38,2.08,10.38,8.39,-0.2,740000
656,Kyle Nicolas,PIT,Pitcher,0,0,0,10,12,6,6.75,1.5,7.5,6.17,-0.2,740000
657,Brandon Young,BAL,Pitcher,0,4,0,6,26.1,8.54,3.76,2.39,7.52,5.89,-0.2,760000
658,Tyler Holton,DET,Pitcher,4,3,0,40,47.1,7.61,1.52,1.9,3.8,4.65,-0.2,797700
659,Luis Peralta,COL,Pitcher,1,1,0,9,8.1,5.4,8.64,1.08,7.56,6.68,-0.2,740000
660,Colin Poche,2 Tms,Pitcher,1,2,0,14,9.1,10.61,13.5,0.96,12.54,6.62,-0.2,740000
661,José Ruiz,2 Tms,Pitcher,1,0,0,18,16.1,8.27,4.96,1.65,8.82,5.29,-0.2,740000
662,Sean Hjelle,SFG,Pitcher,1,1,0,9,12,6.75,6,1.5,6.75,5.75,-0.2,740000
663,Anthony Maldonado,ATH,Pitcher,0,0,0,6,6,10.5,7.5,4.5,12,9.75,-0.2,740000
664,Kaleb Ort,HOU,Pitcher,1,1,0,29,26.2,8.44,4.39,1.69,5.74,5.11,-0.2,770000
665,Joe La Sorsa,CIN,Pitcher,0,0,0,3,4.2,1.93,3.86,5.79,11.57,12.3,-0.2,740000
666,Ryan Loutos,2 Tms,Pitcher,1,0,0,10,10.1,5.23,6.97,1.74,11.32,7.05,-0.2,740000
667,Miguel Rojas,LAD,Pitcher,0,0,0,4,5,0,3.6,5.4,12.6,12.68,-0.2,740000
668,Roki Sasaki,LAD,Pitcher,1,1,0,7,31.1,6.03,4.88,1.72,4.88,6.15,-0.2,760000
669,J.P. Feyereisen,2 Tms,Pitcher,0,2,0,4,4,9,2.25,4.5,11.25,8.33,-0.2,740000
670,José Suarez,ATL,Pitcher,1,0,0,3,7.1,6.14,8.59,1.23,2.45,6.35,-0.2,740000
671,Carson Seymour,SFG,Pitcher,0,0,0,2,4,4.5,0,6.75,4.5,11.83,-0.2,740000
672,Cam Booser,CHW,Pitcher,1,4,1,30,24.2,9.85,5.11,1.82,5.11,5.47,-0.2,768200
673,Hunter Bigge,TBR,Pitcher,0,0,0,13,15,7.2,3,2.4,2.4,6.15,-0.2,762700
674,Cionel Pérez,BAL,Pitcher,0,0,0,19,21.2,8.72,7.48,1.25,8.31,5.71,-0.2,740000
675,Joe Ross,PHI,Pitcher,2,1,0,29,41.2,6.48,3.24,1.51,5.4,5.05,-0.2,4000000
676,Tristan Beck,SFG,Pitcher,1,0,0,8,13.1,4.73,4.73,1.35,8.1,5.56,-0.2,760000
677,Gregory Santos,SEA,Pitcher,1,1,0,8,7,0,10.29,0,5.14,6.51,-0.2,771100
678,Jesse Hahn,SEA,Pitcher,0,1,0,3,5,5.4,9,1.8,5.4,8.08,-0.2,740000
679,José Castillo,2 Tms,Pitcher,0,2,0,18,17.2,8.66,4.58,1.53,5.6,5.57,-0.2,740000
680,Paul Gervase,TBR,Pitcher,0,0,0,5,6.1,8.53,7.11,4.26,4.26,9.71,-0.2,740000
681,Connor Thomas,MIL,Pitcher,0,0,0,2,5.1,8.44,3.38,5.06,20.25,10.21,-0.2,760000
682,Angel Chivilli,COL,Pitcher,1,4,0,25,35,6.69,4.11,1.54,5.91,5.28,-0.2,740000
683,Anthony DeSclafani,ARI,Pitcher,0,1,1,6,16.1,9.37,2.2,2.76,4.96,6.27,-0.2,2000000
684,Erik Swanson,TOR,Pitcher,1,0,0,6,5.1,5.06,8.44,3.38,15.19,10.21,-0.2,740000
685,Bryce Elder,ATL,Pitcher,3,6,0,15,79.2,7.79,3.16,1.81,5.65,5.17,-0.3,800000
686,Mick Abel,PHI,Pitcher,2,2,0,6,25,7.56,3.24,2.52,5.04,6.24,-0.3,740000
687,Chase Dollander,COL,Pitcher,2,9,0,15,68.2,6.82,4.33,1.97,6.68,5.94,-0.3,740000
688,Daniel Lynch IV,KCR,Pitcher,3,2,1,39,41.2,6.26,4.75,1.08,2.59,5.12,-0.3,782500
689,Kyle Hart,SDP,Pitcher,3,2,0,7,29.1,5.83,1.84,2.45,5.83,5.95,-0.3,770000
690,Richard Lovelady,2 Tms,Pitcher,0,1,0,8,8.1,8.64,5.4,2.16,10.8,7.52,-0.3,740000
691,Tommy Kahnle,DET,Pitcher,1,2,9,40,38,7.58,3.32,1.42,4.5,4.63,-0.3,7750000
692,José Leclerc,ATH,Pitcher,0,1,0,10,9,8,5,3,6,7.3,-0.3,10000000
693,Michel Otañez,ATH,Pitcher,0,0,0,6,5.1,10.13,8.44,3.38,13.5,9.08,-0.3,740000
694,Sam Long,KCR,Pitcher,0,2,0,15,14.2,7.36,6.14,1.84,9.82,6.35,-0.3,950000
695,Edwin Uceta,TBR,Pitcher,5,2,1,41,40.2,11.73,3.76,1.99,5.53,4.9,-0.3,815000
696,Yoendrys Gómez,3 Tms,Pitcher,1,1,1,12,17.2,6.62,6.62,1.53,6.62,6.2,-0.3,740000
697,Anthony Veneziano,MIA,Pitcher,0,0,0,24,21,8.57,4.29,1.71,4.71,5.22,-0.3,740000
698,Thomas Harrington,PIT,Pitcher,0,1,1,2,8,7.88,5.63,3.38,10.13,8.08,-0.3,740000
699,Keider Montero,DET,Pitcher,4,1,0,13,65,6.23,3.05,1.66,4.02,5.21,-0.3,760000
700,Bradley Blalock,COL,Pitcher,0,2,0,6,21.2,3.74,2.49,2.49,9.97,6.82,-0.3,762000
701,Tayler Scott,2 Tms,Pitcher,1,2,0,23,25.2,8.06,5.61,1.4,6.66,5.3,-0.3,740000
702,Garrett McDaniels,LAA,Pitcher,0,0,0,10,10.2,5.06,6.75,1.69,5.91,6.93,-0.3,740000
703,Chase Petty,CIN,Pitcher,0,3,0,3,6,10.5,12,4.5,19.5,11.75,-0.3,740000
704,Seth Halvorsen,COL,Pitcher,1,2,8,37,35.2,8.07,4.29,1.77,5.3,5.27,-0.3,762000
705,Ryan Fernandez,STL,Pitcher,0,2,0,11,8.2,7.27,5.19,2.08,11.42,6.2,-0.3,740000
706,Clayton Beeter,NYY,Pitcher,0,1,0,2,3.2,2.45,9.82,4.91,14.73,12.9,-0.3,740000
707,Eli Morgan,CHC,Pitcher,0,1,0,6,6,4.5,4.5,4.5,15,10.08,-0.3,950000
708,Blade Tidwell,NYM,Pitcher,1,1,0,4,15,6,6,2.4,9,7.42,-0.3,740000
709,Shaun Anderson,LAA,Pitcher,1,0,0,6,10.2,8.44,2.53,3.38,7.59,6.93,-0.3,740000
710,Génesis Cabrera,3 Tms,Pitcher,0,0,0,20,23.1,7.33,2.7,2.31,6.17,5.82,-0.3,760000
711,Jesse Chavez,ATL,Pitcher,0,1,0,4,8,9,5.63,4.5,9,9.46,-0.3,740000
712,Anthony Banda,LAD,Pitcher,4,1,0,42,40.1,7.14,4.91,1.34,4.24,5.21,-0.3,1000000
713,Chase Shugart,PIT,Pitcher,4,3,0,32,39,5.08,3.46,1.38,3.69,5.18,-0.3,760000
714,Carlos Vargas,SEA,Pitcher,3,5,1,42,44.2,6.45,3.83,1.01,3.43,4.45,-0.3,761200
715,Zach Brzykcy,WSN,Pitcher,0,1,0,23,20.2,9.58,4.35,2.61,7.4,6.32,-0.3,740000
716,Ryan Rolison,COL,Pitcher,0,0,0,20,26,5.54,4.15,2.08,7.62,6.24,-0.3,760000
717,Chayce McDermott,BAL,Pitcher,0,1,0,2,7.2,8.22,9.39,3.52,8.22,9.86,-0.4,740000
718,Zach Eflin,BAL,Pitcher,6,5,0,12,62,6.1,1.6,2.32,5.95,5.71,-0.4,740000
719,Zach Agnos,COL,Pitcher,1,3,4,24,27,5.33,3.67,1.67,5.33,5.53,-0.4,760000
720,Luke Jackson,TEX,Pitcher,2,5,9,37,32.1,6.4,5.01,1.11,4.45,5.12,-0.4,1500000
721,Tanner Houck,BOS,Pitcher,0,3,0,9,43.2,6.6,3.5,2.06,8.04,6.1,-0.4,3950000
722,Landon Knack,LAD,Pitcher,2,2,0,8,36.2,7.85,4.42,2.45,5.4,6.52,-0.4,740000
723,Joey Estes,ATH,Pitcher,0,2,0,2,7,6.43,7.71,5.14,15.43,12.08,-0.4,740000
724,Noah Davis,LAD,Pitcher,0,1,0,5,6,12,7.5,4.5,19.5,11.42,-0.4,740000
725,John King,STL,Pitcher,2,0,0,36,34.2,5.19,3.12,1.56,5.45,5.22,-0.4,1605000
726,Zach Pop,2 Tms,Pitcher,0,1,0,5,6.2,4.05,2.7,5.4,14.85,11.33,-0.4,740000
727,Elvin Rodriguez,MIL,Pitcher,0,2,0,6,18.2,8.2,3.38,3.38,8.68,7.42,-0.4,740000
728,Tim Herrin,CLE,Pitcher,4,2,0,37,29.1,8.59,6.75,0.92,3.99,5.26,-0.4,740000
729,Emerson Hancock,SEA,Pitcher,3,5,0,15,77.1,6.17,3.49,1.75,5.47,5.59,-0.4,740000
730,Carson Palmquist,COL,Pitcher,0,4,0,7,30.2,6.46,5.28,2.35,7.63,7.09,-0.4,740000
731,George Soriano,MIA,Pitcher,1,0,0,12,20.1,9.3,4.87,2.66,7.97,6.77,-0.4,740000
732,Gunnar Hoglund,ATH,Pitcher,1,3,0,6,32.1,6.4,3.06,2.78,6.4,6.7,-0.5,760000
733,Lucas Sims,WSN,Pitcher,1,0,0,18,12.1,9.49,10.22,1.46,13.86,8.19,-0.5,740000
734,Nestor Cortes,MIL,Pitcher,1,1,0,2,8,9,7.88,5.63,9,11.83,-0.5,7600000
735,Porter Hodge,CHC,Pitcher,2,1,2,25,22.2,9.53,4.37,2.38,7.15,5.86,-0.5,767000
736,Joe Mantiply,ARI,Pitcher,0,1,0,10,9.2,7.45,2.79,4.66,15.83,9.39,-0.5,740000
737,Scott Blewett,3 Tms,Pitcher,3,0,0,26,44.1,7.11,3.65,1.83,5.48,5.43,-0.5,760000
738,Didier Fuentes,ATL,Pitcher,0,3,0,4,13,8.31,4.15,4.15,13.85,9.08,-0.5,740000
739,Eduardo Salazar,WSN,Pitcher,0,1,0,30,29,7.14,4.97,2.17,8.38,6.39,-0.5,740000
740,Colin Holderman,PIT,Pitcher,0,1,0,14,15,6.6,6.6,1.8,9,6.82,-0.5,740000
741,Beau Brieske,DET,Pitcher,1,3,1,22,22,6.55,4.91,2.05,6.55,6.22,-0.5,740000
742,Jonathan Loáisiga,NYY,Pitcher,0,1,0,22,23.1,8.49,2.31,2.7,5.01,6,-0.5,5000000
743,Alexis Díaz,CIN,Pitcher,0,0,0,6,6,4.5,7.5,6,12,14.25,-0.5,740000
744,Osvaldo Bido,ATH,Pitcher,2,4,0,13,52.1,6.19,4.13,2.06,5.68,6.29,-0.6,765000
745,Bryse Wilson,CHW,Pitcher,0,2,0,19,45.1,5.36,3.77,2.18,6.95,6.43,-0.6,740000
746,Scott Alexander,2 Tms,Pitcher,1,1,0,21,17.2,4.08,4.58,2.55,6.11,7.55,-0.6,740000
747,Chad Green,TOR,Pitcher,3,2,1,41,40,7.2,2.93,2.25,3.6,5.86,-0.6,10500000
748,Trent Thornton,SEA,Pitcher,2,0,0,28,34.2,6.49,3.63,1.56,4.67,5.45,-0.6,2000000
749,Walker Buehler,BOS,Pitcher,6,6,0,16,78,7.27,4.04,1.96,6.12,5.95,-0.6,21050000
750,Ryan Zeferjahn,LAA,Pitcher,5,3,2,40,35,10.54,5.66,2.06,5.66,5.77,-0.6,770000
751,Alek Jacob,SDP,Pitcher,1,0,0,22,23.1,6.94,3.86,2.31,6.94,6.94,-0.7,764500
752,Kyle Gibson,BAL,Pitcher,0,3,0,4,12.1,7.3,5.11,5.11,16.78,10.54,-0.7,740000
753,Jackson Rutledge,WSN,Pitcher,1,1,0,32,40.1,8.03,3.57,2.68,6.92,6.73,-0.7,760000
754,Bowden Francis,TOR,Pitcher,2,8,0,14,64,7.59,3.8,2.67,6.05,6.8,-0.9,781500
